season,2023-2024,2024-2025,2025-2026,2025-2026,2024-2025,2025-2026,2025-2026,2025-2026,2025-2026
target,wk inc flu hosp,wk inc flu hosp,wk inc flu hosp,wk inc flu prop ed visits,wk inc covid hosp,wk inc covid hosp,wk inc covid prop ed visits,wk inc rsv hosp,wk inc rsv prop ed visits
name,,,,,,,,,
joint_mlp__direct__mask0.5,1.079670153436157,0.8788060935137759,1.0155093127257644,0.9541741209716174,1.1202044168349634,0.9237181770316796,1.1124061875744913,0.9261680147924772,0.8137506058469532
joint_mlp__direct_finalflag__gap_only,1.1879485779008643,0.8539190204566202,1.0848777970780767,1.0186568844840196,1.0677780890324244,0.9939671209334277,1.1289638404228264,0.9494906453468047,0.9537935087254129
joint_mlp__direct_finalflag__mask0,1.245648675428753,0.7566860439868748,1.0465653491384075,0.9824925548811435,1.0676243510556427,1.0089341115657031,1.295543159729305,0.9607526872079335,0.9801862284286398
joint_mlp__direct_finalflag__mask0.25,1.2243206986800248,0.7918233087220669,1.0658404394400685,0.8679845091975075,1.1237118279776646,1.0043714295714992,1.0531965012243079,0.9331855990672864,1.0019889689348291
joint_mlp__direct_finalflag__mask0.5,1.0790130082304936,0.7933638345023954,0.9564276401135072,0.9392076024643203,1.1150666480512583,0.9452511726251517,1.0920247543635637,0.8505423207666549,0.9069342984151726
joint_mlp__direct_finalflag__outage_only,1.0052096807544328,0.8240163518850427,1.0403090388323835,0.9247799659442749,1.0919918701838325,0.9734411876946253,1.1944152312841643,0.8760103973951923,0.9317440325854865
joint_mlp__direct_finalflag__recent_only,1.063377457236559,0.8903661092086751,0.8808587484668884,0.9522985171315917,1.188887109932758,1.025258779283787,1.4373764464951542,1.1214300610514567,1.1215137654820986
joint_mlp__joint_aux025__mask0.5,0.9814759502805529,0.919127394559918,0.9227909519720586,0.9657991446525918,1.0739310313535315,0.9852542636767203,1.107934583235109,0.8381357716214869,0.8741688790887051
joint_mlp__joint_aux025__outage_only,1.3996720604697146,0.7339985388311793,1.1143047428969066,0.9622818703997309,1.105470143327477,0.973309043423347,1.217839083710375,0.9047840301569755,0.9742748352338214
joint_mlp__two_stage__mask0.5,1.5932869782266976,0.8465505139244561,1.2508903733193752,0.9890746001964366,1.0650092306193095,1.0472894717158792,1.4377262913055961,0.9777262180025744,0.7820315039506259
pathogen_mlp__direct__mask0.5,1.262485650689446,0.8521316420260684,1.0054806814634547,0.988740892654053,0.9719283440146343,0.9222462627078616,1.0185660629507052,0.9384341089290044,0.8999880336720382
pathogen_mlp__direct_finalflag__gap_only,0.9849035109744523,0.8764833942811339,1.2136536249704497,1.0783561006430564,0.9341655192031588,1.0107464710026206,1.0739128711354875,0.9065762618113157,0.8988843204270475
pathogen_mlp__direct_finalflag__mask0,0.9830379410605006,0.8541854938252227,1.0654185687667848,1.001213346480607,0.9383501121025147,1.0153900223485677,1.064974618723924,0.8957329012529316,0.8901311448131425
pathogen_mlp__direct_finalflag__mask0.25,1.0876224172652111,0.8749784651945345,1.057231569772566,1.062585464092218,1.2340502923273127,0.9554155785679029,1.0040707403033946,1.0102928239473765,1.044544092633582
pathogen_mlp__direct_finalflag__mask0.5,0.9914125261842829,0.8467225763708107,1.0057516099949406,0.9775561049737514,1.0155748384636578,0.9052520921555066,0.9638145066455747,0.8950960723459964,0.841800484265895
pathogen_mlp__direct_finalflag__outage_only,0.9991390038519675,0.900081289412746,0.9376086583815754,0.965478972175235,1.0095036421139716,0.8999507978130872,1.0408554264513923,0.9212598788077418,0.9251389225808072
pathogen_mlp__direct_finalflag__recent_only,1.0527581984399608,0.847736408672282,1.0650121044665974,1.050670724435414,1.104752901745606,0.9736265494514945,1.0277159731636203,1.056199820828296,1.047034113221572
pathogen_mlp__joint_aux025__mask0.5,1.0234482078632476,0.840585145991919,0.9450810354079503,0.9531385614180129,0.9728132413751366,0.9497804454223887,0.9924026287453284,0.9065626053893742,0.9110047013194821
pathogen_mlp__joint_aux025__outage_only,1.1832888681674352,0.8754225011872313,1.0791629420794393,1.0042907999824795,1.1832818305343644,0.9381503991191643,1.0401027301169659,0.8891839133969025,1.0267387466778124
pathogen_mlp__two_stage__mask0.5,1.2149579158480244,0.8260463360280639,1.1531308821976778,1.0488323549624254,1.1752125043224553,1.1996818438186772,1.5320091905086626,0.8795563009160059,0.8102511249588368
target_mlp__direct__mask0.5,1.2516109913918347,0.8301373178557055,0.9320986615438721,1.0355899137210973,0.9327326561173024,0.9536982935491283,1.0071282637904193,0.965304659054504,0.830275220272513
target_mlp__direct_finalflag__gap_only,0.9681112174117436,0.8468611328199668,0.9444176218897232,0.9152790808415481,0.9395724363112814,0.9425599317619966,1.0323895114189428,1.044417280200033,0.7872052265092755
target_mlp__direct_finalflag__mask0,0.9715396596494701,0.9053675068292817,0.940585048229456,0.9374450232747756,0.9875035461293251,0.9557124889307979,1.0437461725742256,0.9427883359457678,0.8109007455004141
target_mlp__direct_finalflag__mask0.25,1.0610785371955416,0.7977532838378294,0.8929034096138325,0.8955976295499103,1.0021126678716772,0.9926388256177775,0.9939440985289981,1.1433811529566809,0.9220602273956623
target_mlp__direct_finalflag__mask0.5,1.058255221845205,0.8484501214602466,0.9721649001288851,0.9411866093767799,0.9964870932681081,0.921949420651281,1.0253223705266665,0.9742385021426272,0.9436757916614541
target_mlp__direct_finalflag__outage_only,1.3501673922691346,0.9361116505973449,1.0377496458305007,1.004101238382905,0.9462342430398146,0.9643354583574704,0.9595014856046143,0.9826715701645631,0.9287575409416847
target_mlp__direct_finalflag__recent_only,1.0279756705801504,0.9557171295495186,1.0566645055342114,0.9104123500894695,1.076438091979303,0.9920212779893589,0.9736269740768294,1.0076183872159408,0.7814449357213462
target_mlp__joint_aux025__mask0.5,1.037022321100349,0.8440615823976362,0.9918367589232865,0.9082648646298517,1.0045269359608429,0.9347180293948637,0.9667422844720613,1.039856163509248,1.131012983239831
target_mlp__joint_aux025__outage_only,1.1617988078969703,0.8256293109841483,1.1364057298628112,1.0351813012538373,0.9519131398115883,0.9966073063380815,1.0115301941871844,0.978022882206684,0.9425331777831553
target_mlp__two_stage__mask0.5,1.3692746025373586,0.9546270425137656,1.4027547283377277,1.224187878536297,1.1588285751409826,1.0414718077692087,1.04889926834196,1.0204738098983042,0.8013768098419565
target_multiscale__direct__mask0.5,1.3654876636235684,0.831058803457132,0.9693528972733597,1.0338624037373394,0.9572925060218265,1.0845215168109992,1.0010925759277212,1.1538246444546683,0.914330916741512
target_multiscale__direct_finalflag__gap_only,0.9670092598983686,0.9161191007989379,0.9148869349224777,0.8942038888141449,1.014242593424776,1.071399072768123,0.9805079096369332,1.0399096114780562,1.0838083658142794
target_multiscale__direct_finalflag__mask0,0.9677623291542,0.910812309636961,0.9183511056920367,0.9078951660742667,1.1004132960895399,0.9860212629992748,0.9511202770013192,0.9583789939442208,1.1242734520691644
target_multiscale__direct_finalflag__mask0.25,1.0803525592673506,0.8880451224352427,0.9714880231830884,0.9842668099673738,1.0798981865295492,1.0224517193129776,0.9873002515598693,1.216496398508369,1.0390588334856425
target_multiscale__direct_finalflag__mask0.5,1.0559560260098813,0.872317587481349,1.1006009767789737,0.8874564065949803,1.0959406104084808,1.1442721000501446,0.9789412360710203,1.025133880454571,1.066672395410343
target_multiscale__direct_finalflag__outage_only,1.1679454365162598,0.9918760246706979,1.1995111784386119,0.987115432049272,0.9720752948793114,1.079353980743349,1.0502261184038038,0.9174742814882331,1.1905353067577638
target_multiscale__direct_finalflag__recent_only,1.1313227302387157,0.8867647777346441,0.9575155777828469,0.8637495883217149,1.203580853907201,1.1040238312326982,1.0293449648670971,1.1233936354758658,1.0562933362949862
target_multiscale__joint_aux025__mask0.5,1.0961076746349143,0.8223744964938672,0.9341848627077223,0.8706833880633346,1.0178662658390984,1.0715680203478708,0.9467878590856934,1.0014243531709044,1.15215618169081
target_multiscale__joint_aux025__outage_only,1.1108598598104873,1.0175334408520702,1.0092742774329795,0.9338836649397276,1.017098868317264,1.0469472193199716,0.9674946117720533,0.9421507385472324,1.2119085042699522
target_multiscale__two_stage__mask0.5,1.3793033468236509,0.9679388455919024,1.4589995386102237,0.9468593775243282,1.1078949350473946,1.352120586592024,1.261824953178148,1.0537288619544267,0.8789026814127059
