name,seed,season,target,n,median_abs,zero_median_fraction,crps,zero_crps
pathogen_gated_nw0.1_rev0,44,2023-2024,nssp_flu_proportion,416,0.0031131439027376473,0.0,0.0020771123436134076,0.003901442311206875
pathogen_gated_nw0.1_rev0,44,2023-2024,nssp_rsv_proportion,416,0.0009248645801562816,0.0,0.0024478432081265896,0.002962500006805595
pathogen_gated_nw0.1_rev0,44,2025-2026,nhsn_covid_admissions,1352,0.0,1.0,193.29733310901776,193.2973372781065
pathogen_gated_nw0.1_rev0,44,2025-2026,nhsn_flu_admissions,1196,0.0,1.0,391.59194235766523,391.59197324414714
pathogen_gated_nw0.1_rev0,44,2025-2026,nhsn_rsv_admissions,936,0.0,1.0,143.2414522533724,143.241452991453
pathogen_gated_nw0.1_rev0,44,2025-2026,nssp_covid_proportion,728,0.009216883219778538,0.0,0.003821130307227537,0.005690384626507364
pathogen_gated_nw0.1_rev0,44,2025-2026,nssp_flu_proportion,416,0.004941758932545781,0.0,0.003747460042999452,0.0011764423073215697
pathogen_gated_nw0.1_rev0,44,2025-2026,nssp_rsv_proportion,624,0.0008818617498036474,0.0,0.0012106806685458138,0.0020322115394894634
pathogen_gated_nw0.1_rev0,44,2024-2025,nhsn_covid_admissions,1338,0.0,1.0,280.95141834565015,280.95142002989536
pathogen_gated_nw0.1_rev0,44,2024-2025,nhsn_flu_admissions,1294,0.0,1.0,388.9227131348385,388.9227202472952
pathogen_gated_nw0.1_rev0,44,2024-2025,nhsn_rsv_admissions,832,0.0,1.0,160.39903829853282,160.39903846153845
pathogen_gated_nw0.1_rev0,44,2024-2025,nssp_covid_proportion,728,0.006818754016421735,0.0,0.003767942633783025,0.010165934095281985
pathogen_gated_nw0.1_rev0,44,2024-2025,nssp_flu_proportion,416,0.003909763763658702,0.0,0.002538675977260797,0.0015105769316330854
pathogen_gated_nw0.1_rev0,44,2024-2025,nssp_rsv_proportion,624,0.0008593883540015668,0.0,0.0010804787557390227,0.0016443910249924953
pathogen_gated_nw0.1_rev0,45,2023-2024,nhsn_covid_admissions,622,0.0,1.0,604.7443728424739,604.7443729903537
pathogen_gated_nw0.1_rev0,45,2023-2024,nhsn_flu_admissions,412,0.0,1.0,262.9417291206238,262.94174757281553
pathogen_gated_nw0.1_rev0,45,2023-2024,nhsn_rsv_admissions,326,0.0,1.0,6.874228833201065,6.874233128834356
pathogen_gated_nw0.1_rev0,45,2023-2024,nssp_covid_proportion,728,0.004906204529106617,0.0,0.008517271584983414,0.014096153857650819
pathogen_gated_nw0.1_rev0,45,2023-2024,nssp_flu_proportion,1456,0.0040128257824108005,0.0,0.00865906180345289,0.011986813194443339
pathogen_gated_nw0.1_rev0,45,2023-2024,nssp_rsv_proportion,728,0.000965724786510691,0.0,0.002438432846217468,0.003015934065093301
pathogen_gated_nw0.1_rev0,45,2025-2026,nhsn_covid_admissions,624,0.0,1.0,138.65061921025043,138.65064102564102
pathogen_gated_nw0.1_rev0,45,2025-2026,nhsn_flu_admissions,520,0.0,1.0,352.42882995042555,352.42884615384617
pathogen_gated_nw0.1_rev0,45,2025-2026,nhsn_rsv_admissions,780,0.0,1.0,89.88717743201612,89.88717948717948
pathogen_gated_nw0.1_rev0,45,2025-2026,nssp_covid_proportion,728,0.011079132091253996,0.0,0.0048242993420149856,0.006031043967765812
pathogen_gated_nw0.1_rev0,45,2025-2026,nssp_flu_proportion,1456,0.005054409732110798,0.0,0.008443026752467211,0.010478365410203328
pathogen_gated_nw0.1_rev0,45,2025-2026,nssp_rsv_proportion,1144,0.000870872347149998,0.0,0.0018173059258318259,0.0023504370662452015
pathogen_gated_nw0.1_rev0,45,2024-2025,nhsn_covid_admissions,624,0.0,1.0,310.5128192129808,310.5128205128205
pathogen_gated_nw0.1_rev0,45,2024-2025,nhsn_flu_admissions,520,0.0,1.0,320.38076508377526,320.3807692307692
pathogen_gated_nw0.1_rev0,45,2024-2025,nhsn_rsv_admissions,726,0.0,1.0,135.5165267531034,135.51652892561984
pathogen_gated_nw0.1_rev0,45,2024-2025,nssp_covid_proportion,728,0.0065206760773435235,0.0,0.003985279653804085,0.010668269265107274
pathogen_gated_nw0.1_rev0,45,2024-2025,nssp_flu_proportion,1456,0.005174303776584566,0.0,0.013207875855746702,0.015565041257114888
pathogen_gated_nw0.1_rev0,45,2024-2025,nssp_rsv_proportion,1144,0.0013628491142299026,0.0,0.001368132778199677,0.00261354895980088
pathogen_gated_nw0.1_rev0,46,2023-2024,nhsn_covid_admissions,728,0.0,1.0,454.39010966112437,454.3901098901099
pathogen_gated_nw0.1_rev0,46,2023-2024,nhsn_flu_admissions,722,0.0,1.0,310.0526171010101,310.05263157894734
pathogen_gated_nw0.1_rev0,46,2023-2024,nhsn_rsv_admissions,471,0.0,1.0,4.331204392735141,4.3312101910828025
pathogen_gated_nw0.1_rev0,46,2023-2024,nssp_covid_proportion,1248,0.00498287589289248,0.0,0.007827831178287736,0.01256362181942304
pathogen_gated_nw0.1_rev0,46,2023-2024,nssp_flu_proportion,832,0.003988831653259695,0.0,0.013136428893456188,0.018070673110121158
pathogen_gated_nw0.1_rev0,46,2023-2024,nssp_rsv_proportion,312,0.001039375114487484,0.0,0.005600774034927525,0.006981410292446992
pathogen_gated_nw0.1_rev0,46,2025-2026,nhsn_covid_admissions,936,0.0,1.0,124.66772850285975,124.66773504273505
pathogen_gated_nw0.1_rev0,46,2025-2026,nhsn_flu_admissions,832,0.0,1.0,247.370170655962,247.37019230769232
pathogen_gated_nw0.1_rev0,46,2025-2026,nhsn_rsv_admissions,988,0.0,1.0,115.43825659499463,115.43825910931174
pathogen_gated_nw0.1_rev0,46,2025-2026,nssp_covid_proportion,1248,0.009359091520309448,0.0,0.004592953027382371,0.005047916683347116
pathogen_gated_nw0.1_rev0,46,2025-2026,nssp_flu_proportion,936,0.006354350131005049,0.0,0.016152524920191633,0.022544764999888414
pathogen_gated_nw0.1_rev0,46,2025-2026,nssp_rsv_proportion,416,0.0019779871799983084,0.0,0.00110407326036903,0.0020341346192498558
pathogen_gated_nw0.1_rev0,46,2024-2025,nhsn_covid_admissions,825,0.0,1.0,207.26423774711128,207.2642424242424
pathogen_gated_nw0.1_rev0,46,2024-2025,nhsn_flu_admissions,828,0.0,1.0,245.81520203623754,245.81521739130434
pathogen_gated_nw0.1_rev0,46,2024-2025,nhsn_rsv_admissions,908,0.0,1.0,160.3160784851856,160.3160792951542
pathogen_gated_nw0.1_rev0,46,2024-2025,nssp_covid_proportion,1248,0.0056989314034581184,0.0,0.004164173338978845,0.00927676284654575
pathogen_gated_nw0.1_rev0,46,2024-2025,nssp_flu_proportion,936,0.006620157626457512,0.0,0.021470523707951845,0.02727884621194051
pathogen_gated_nw0.1_rev0,46,2024-2025,nssp_rsv_proportion,416,0.0012506723287515342,0.0,0.00173359408939597,0.0030223557772527643
