name,seed,geography,combined,backbone,form,nw_weight,rev
pathogen_two_nw0.2_rev0.5,45,all,1.0401231660924484,pathogen,two_stage,0.2,0.5
pathogen_two_nw0.2_rev0.5,46,all,0.9567358893042591,pathogen,two_stage,0.2,0.5
target_C_nw0.1_rev0,42,all,2.7826719955468135,target,C,0.1,0.0
target_C_nw0.1_rev0,43,all,2.8804502401325838,target,C,0.1,0.0
target_C_nw0.1_rev0,44,all,2.732044839933525,target,C,0.1,0.0
target_C_nw0.1_rev0,45,all,2.776387957262488,target,C,0.1,0.0
target_C_nw0.1_rev0,46,all,2.851939012484023,target,C,0.1,0.0
target_C_nw0.1_rev0.5,42,all,2.8024819809415518,target,C,0.1,0.5
target_C_nw0.1_rev0.5,43,all,2.693017712486867,target,C,0.1,0.5
target_C_nw0.1_rev0.5,44,all,2.645656373380429,target,C,0.1,0.5
target_C_nw0.1_rev0.5,45,all,2.7406573366446474,target,C,0.1,0.5
target_C_nw0.1_rev0.5,46,all,2.756073645209145,target,C,0.1,0.5
target_C_nw0.2_rev0,42,all,2.6725684863971764,target,C,0.2,0.0
target_C_nw0.2_rev0,43,all,2.9764858472936893,target,C,0.2,0.0
target_C_nw0.2_rev0,44,all,2.770018472616922,target,C,0.2,0.0
target_C_nw0.2_rev0,45,all,2.719675373720925,target,C,0.2,0.0
target_C_nw0.2_rev0,46,all,2.8095181427112954,target,C,0.2,0.0
target_C_nw0.2_rev0.5,42,all,2.8584341977175662,target,C,0.2,0.5
target_C_nw0.2_rev0.5,43,all,2.897254164243171,target,C,0.2,0.5
target_C_nw0.2_rev0.5,44,all,2.5701101903171018,target,C,0.2,0.5
target_C_nw0.2_rev0.5,45,all,2.714256814858313,target,C,0.2,0.5
target_C_nw0.2_rev0.5,46,all,2.647330120979866,target,C,0.2,0.5
target_gated_nw0.1_rev0,42,all,0.910248708027939,target,gated,0.1,0.0
target_gated_nw0.1_rev0,43,all,0.8277072464126137,target,gated,0.1,0.0
target_gated_nw0.1_rev0,44,all,0.9162707781296545,target,gated,0.1,0.0
target_gated_nw0.1_rev0,45,all,1.0000425199244047,target,gated,0.1,0.0
target_gated_nw0.1_rev0,46,all,0.9673107972407743,target,gated,0.1,0.0
target_gated_nw0.1_rev0.5,42,all,0.8840192338508567,target,gated,0.1,0.5
target_gated_nw0.1_rev0.5,43,all,0.8388306954750675,target,gated,0.1,0.5
