form,horizon,scaled_crps,scaled_report_ae,coverage_50,coverage_95,relative_crps
C,-2,0.044973492237703014,0.017747166888738,0.4558966863004225,0.86322779179416,2.534122348634829
C,-1,0.023209745489604364,0.0272002510075246,0.6314970076464469,0.9419020583647704,0.8532915921688989
gated,-2,0.013853592183468735,0.017747166888738,0.5082857640797411,0.8626262653558003,0.7806086611074778
gated,-1,0.019765248650963567,0.0272002510075246,0.44427268195900915,0.837414805299846,0.7266568475965816
two_stage,-2,0.014813081060976396,0.017747166888738,0.5873701898531399,0.8851806878993465,0.8346730018286176
two_stage,-1,0.02095331949426187,0.0272002510075246,0.49239236822789234,0.8645512295497124,0.7703355196415431
