name,seed,stress,recent_kind,horizon,scaled_crps,scaled_mae,scaled_report_ae,coverage_50,coverage_95,scaled_zero_crps,near_zero_median
pathogen_C_nw0.1_rev0,42,gap,artificial_reconstruction,-2,0.07818979168172528,0.10674494827602178,,0.23985890652557318,0.7292768959435626,0.3018628570097446,0.0
pathogen_C_nw0.1_rev0,42,gap,artificial_reconstruction,-1,0.1288412684756494,0.147780615613214,,0.09523809523809523,0.23809523809523805,0.17964636930678812,0.0
pathogen_C_nw0.1_rev0,42,gap,revision,-2,0.04344323467590153,0.05865222362106728,0.01775341609268807,0.47796035552619903,0.8512901954521146,0.2831320276157742,0.020240183110873874
pathogen_C_nw0.1_rev0,42,gap,revision,-1,0.021538693893907362,0.026174786336977313,0.02720519955176418,0.688928551455556,0.9463316600823003,0.26360142443417406,0.02294521529070363
pathogen_C_nw0.1_rev0,42,natural,revision,-2,0.04340295097326654,0.05860566384099262,0.01774716688873809,0.4779357086719318,0.8514070407447928,0.28301248731651457,0.020230601319925944
pathogen_C_nw0.1_rev0,42,natural,revision,-1,0.02153593459921387,0.02617066445449057,0.02720025100752463,0.6883630954212404,0.946389120435557,0.26351801274502556,0.0229348888826013
pathogen_C_nw0.1_rev0,42,outage,artificial_reconstruction,-2,0.2686699585512049,0.2790849598926309,,0.13965816126605513,0.2125132554174456,0.30063422726583044,0.666666666666667
pathogen_C_nw0.1_rev0,42,outage,artificial_reconstruction,-1,0.26219870832842895,0.2723024849475278,,0.13616027199798922,0.20876508346990308,0.29634808858098804,0.666666666666667
pathogen_C_nw0.1_rev0,42,outage,revision,-2,0.04619370554143953,0.0620994143177675,0.018357511228950095,0.4750998001470708,0.8539292453967146,0.28951447252931634,0.019133050865022802
pathogen_C_nw0.1_rev0,42,outage,revision,-1,0.022848483933654618,0.02852582432844109,0.028448460052744887,0.6713137023411044,0.9465446737313816,0.27417203601082923,0.021473509433175664
pathogen_C_nw0.1_rev0,42,recent,artificial_reconstruction,-2,0.05090350093709611,0.0700190427914588,,0.4829873500984612,0.8854378414291268,0.27507836042418504,0.09523800108549563
pathogen_C_nw0.1_rev0,42,recent,artificial_reconstruction,-1,0.0689365152551115,0.08876957286821474,,0.3526293069344702,0.7324023106134318,0.292079185066089,0.09488334358717544
pathogen_C_nw0.1_rev0,42,recent,revision,-2,0.045428952547400696,0.06106265305229102,0.019556256148517585,0.5097846839844365,0.8732268837080696,0.3038973185285184,0.01727582530427296
pathogen_C_nw0.1_rev0,42,recent,revision,-1,0.023329716625230548,0.028790933813018792,0.03057755755018006,0.6945940264454776,0.9477683394353832,0.2895152578541457,0.018179758756372413
pathogen_C_nw0.1_rev0,43,gap,artificial_reconstruction,-2,0.10040774884985537,0.13622621779219335,,0.4666666666666666,0.6825396825396824,0.6155522143343406,0.12698412698412698
pathogen_C_nw0.1_rev0,43,gap,artificial_reconstruction,-1,0.14936366378995122,0.1866145898349221,,0.38888888888888884,0.8333333333333334,0.5721890193423632,0.0
pathogen_C_nw0.1_rev0,43,gap,revision,-2,0.04687808398183343,0.0634042281893169,0.017748238923116545,0.4140676189842301,0.8570665825500375,0.28299654885579373,0.019677043565966182
pathogen_C_nw0.1_rev0,43,gap,revision,-1,0.023061156469665677,0.030072281817310975,0.027200065238877854,0.5601584429858986,0.93978564829624,0.2634990747794748,0.022439486638735753
pathogen_C_nw0.1_rev0,43,natural,revision,-2,0.04689056705263511,0.06341637322938813,0.01774716688873809,0.41516943643896553,0.8569980827016904,0.28301248731651457,0.019662435523001977
pathogen_C_nw0.1_rev0,43,natural,revision,-1,0.023062088603920994,0.030077290553368174,0.02720025100752463,0.5599436834813183,0.9398353269479148,0.26351801274502556,0.022426537393857655
pathogen_C_nw0.1_rev0,43,outage,artificial_reconstruction,-2,0.3068676765956881,0.31588682407037416,,0.15274244677294788,0.21031256123848718,0.3334138182097191,0.666666666666667
pathogen_C_nw0.1_rev0,43,outage,artificial_reconstruction,-1,0.3074451149014644,0.3154268190121146,,0.1380464930178266,0.18747226332594988,0.33128544153352163,0.666666666666667
pathogen_C_nw0.1_rev0,43,outage,revision,-2,0.04658240701327149,0.06310038112934567,0.01759717367899601,0.42351262489304825,0.8668837208836587,0.2829794970826613,0.018257266170545305
pathogen_C_nw0.1_rev0,43,outage,revision,-1,0.023581966535750166,0.0308889939167466,0.02690874014440774,0.5677571968771921,0.9398927319142523,0.25927336729640366,0.02117994455080688
pathogen_C_nw0.1_rev0,43,recent,artificial_reconstruction,-2,0.05440794999646872,0.07548942355904296,,0.5008107132115848,0.8895120265839221,0.3423153270714519,0.09440739588016277
pathogen_C_nw0.1_rev0,43,recent,artificial_reconstruction,-1,0.07068923373218684,0.092842816690192,,0.3706464169702061,0.7614497640862873,0.3328932042035048,0.09492781097104223
pathogen_C_nw0.1_rev0,43,recent,revision,-2,0.04259099159509395,0.056958597082320796,0.01750806502522399,0.4937309095771414,0.8904120516135038,0.28255498451274114,0.017872448660607065
pathogen_C_nw0.1_rev0,43,recent,revision,-1,0.02373460988950093,0.030976820463011118,0.0259376442934888,0.558627325265402,0.9384483954265873,0.25447581899862043,0.01976608076825942
pathogen_C_nw0.1_rev0,44,gap,artificial_reconstruction,-2,0.1335999949839267,0.1761482668796263,,0.39166666666666666,0.7916666666666666,0.35981308038923304,0.08333333333333333
