name,stress,kind,crps,coverage_50,coverage_95,cells
pathogen_C_nw0.1_rev0,recent,artificial_reconstruction,21.722206705603096,0.3870943275381128,0.7709272633805547,118661
pathogen_C_nw0.1_rev0,recent,revision,16.652929583496434,0.5562329982587992,0.890443422099343,179761
pathogen_C_nw0.1_rev0.5,recent,artificial_reconstruction,20.924671974114553,0.3913922855866713,0.7762617877820008,118661
pathogen_C_nw0.1_rev0.5,recent,revision,16.19154075108266,0.5522833095053988,0.8911276639538054,179761
pathogen_C_nw0.2_rev0,recent,artificial_reconstruction,20.764516266530457,0.3926226814201802,0.7734301918911858,118661
pathogen_C_nw0.2_rev0,recent,revision,16.133226891310617,0.559715399892079,0.8911666045471487,179761
pathogen_C_nw0.2_rev0.5,recent,artificial_reconstruction,20.995616309485765,0.3983532921515915,0.7790428194604798,118661
pathogen_C_nw0.2_rev0.5,recent,revision,16.568719215092568,0.5635260150978243,0.8956392098397317,179761
pathogen_gated_nw0.1_rev0,recent,artificial_reconstruction,18.852472130444507,0.4903970133405247,0.8584539149341401,118661
pathogen_gated_nw0.1_rev0,recent,revision,7.151234248453374,0.5230834274397672,0.8745334082476177,179761
pathogen_gated_nw0.1_rev0.5,recent,artificial_reconstruction,19.375694913491746,0.4859810721298489,0.8590269760072813,118661
pathogen_gated_nw0.1_rev0.5,recent,revision,7.490768753688186,0.49585838975083585,0.8675797308648706,179761
pathogen_gated_nw0.2_rev0,recent,artificial_reconstruction,18.092676855496375,0.49551242615518154,0.8617827255795922,118661
pathogen_gated_nw0.2_rev0,recent,revision,7.223186483477454,0.49526871790877885,0.8552911921940799,179761
pathogen_gated_nw0.2_rev0.5,recent,artificial_reconstruction,17.913362287534753,0.4927903860577612,0.8555043358812078,118661
pathogen_gated_nw0.2_rev0.5,recent,revision,7.178664146851781,0.5091705097323669,0.8715461084439895,179761
pathogen_two_nw0.1_rev0,recent,artificial_reconstruction,20.312038290616382,0.2992811454479568,0.6057002722040098,118661
pathogen_two_nw0.1_rev0,recent,revision,8.223792425175096,0.5849655932043102,0.8897091137677249,179761
pathogen_two_nw0.1_rev0.5,recent,artificial_reconstruction,19.849935562335094,0.3153521376020765,0.6378001196686358,118661
pathogen_two_nw0.1_rev0.5,recent,revision,8.016030173000853,0.6016544189229032,0.8903766667964687,179761
pathogen_two_nw0.2_rev0,recent,artificial_reconstruction,20.31430365815941,0.32600433166752346,0.662231061595638,118661
pathogen_two_nw0.2_rev0,recent,revision,8.003808540357792,0.5591757945271778,0.890526866227936,179761
pathogen_two_nw0.2_rev0.5,recent,artificial_reconstruction,19.22267527609302,0.34574122921600187,0.6981063702480175,118661
pathogen_two_nw0.2_rev0.5,recent,revision,8.672106079527406,0.5689943869916166,0.8920344234845156,179761
target_C_nw0.1_rev0,recent,artificial_reconstruction,21.837162993008047,0.4041597492015068,0.7868971271100025,118661
target_C_nw0.1_rev0,recent,revision,16.546324308414817,0.5529731143017673,0.8892696413571353,179761
target_C_nw0.1_rev0.5,recent,artificial_reconstruction,22.182622767195845,0.4067975156117006,0.7871415208029597,118661
target_C_nw0.1_rev0.5,recent,revision,16.750731370879276,0.5552094169480588,0.884702466052147,179761
target_C_nw0.2_rev0,recent,artificial_reconstruction,21.615007603593483,0.3907770876699168,0.7746184508810814,118661
