backbone,augmentation,nowcast_weight,B,gated,delta,seed_delta_sd,improved,pairs
pathogen,0.0,0.1,0.9593716068403854,0.9723493640658022,0.012977757225416942,0.030235634701972207,1,5
pathogen,0.0,0.2,0.9593716068403854,0.9759291373774633,0.016557530537078157,0.04752020350706523,1,5
pathogen,0.5,0.1,0.9883350964685143,1.050801047521982,0.06246595105346784,0.0818485180496094,1,5
pathogen,0.5,0.2,0.9883350964685143,0.9845841536888607,-0.003750942779653532,0.03733930641397732,3,5
target,0.0,0.1,0.9974763454088222,0.9488378905929269,-0.04863845481589544,0.05291387070631616,4,5
target,0.0,0.2,0.9974763454088222,0.9478041975139853,-0.04967214789483709,0.03960220667074573,5,5
target,0.5,0.1,1.0102307637956118,0.9896848346784953,-0.02054592911711648,0.0647562587161685,3,5
target,0.5,0.2,1.0102307637956118,0.9837527082786026,-0.026478055517009234,0.07136315038070379,3,5
