name,seed,crps
target_two_nw0.1_rev0,45,61.94728849444148
target_two_nw0.1_rev0,46,62.38963765679202
target_two_nw0.1_rev0.5,42,45.94743266633785
target_two_nw0.1_rev0.5,43,108.47337311925682
target_two_nw0.1_rev0.5,44,111.16621045232229
target_two_nw0.1_rev0.5,45,62.160772327506265
target_two_nw0.1_rev0.5,46,55.6259522105429
target_two_nw0.2_rev0,42,49.55911441951228
target_two_nw0.2_rev0,43,100.8549051244861
target_two_nw0.2_rev0,44,100.26004907422731
target_two_nw0.2_rev0,45,51.92195699631487
target_two_nw0.2_rev0,46,64.3736379130336
target_two_nw0.2_rev0.5,42,55.6174805924928
target_two_nw0.2_rev0.5,43,97.25992759271428
target_two_nw0.2_rev0.5,44,177.34923474590678
target_two_nw0.2_rev0.5,45,69.72181749525726
target_two_nw0.2_rev0.5,46,56.668473671833624
