config_id,rank,wk inc flu hosp_mean,wk inc covid hosp_mean,wk inc rsv hosp_mean,wk inc flu prop ed visits_mean,wk inc covid prop ed visits_mean,wk inc rsv prop ed visits_mean,combined_mean,wk inc flu hosp_sd,wk inc covid hosp_sd,wk inc rsv hosp_sd,wk inc flu prop ed visits_sd,wk inc covid prop ed visits_sd,wk inc rsv prop ed visits_sd,combined_sd,seeds,states_dc_combined_mean,US_combined_mean
b1:v2:h12:tr_4rt:ed_logit:geo1:dyn1:lw_obj:enc_mlp:sp_none:hd_sh:dec_leg:nz_glob:us_none:z16:w64:ep300:pat30:bs8:m128:lr0.001:hs_sh:cal1:id0:fit_path:vm256:wd0.0:pipe_flag:mask0.5:mr0.5:mg0.3:mo0.2,1.0,0.9161845364157672,0.963052808202633,0.8948144909232935,0.9553863818174637,1.0624851909105846,0.8417463278626464,0.9406883467840726,0.04790044364990216,0.039555855359332835,0.04420428407993335,0.07692340520618624,0.09076902088341281,0.09203586423824159,0.059293180970300716,3,0.9534840416466323,0.8895055673338333
b1:v2:h12:tr_4rt:ed_logit:geo1:dyn1:lw_obj:enc_mlp:sp_none:hd_sh:dec_leg:nz_glob:us_none:z16:w64:ep300:pat30:bs8:m128:lr0.001:hs_sh:cal1:id0:fit_path:vm256:wd0.0:pipe_aux025:mask0.5:mr0.5:mg0.3:mo0.2,2.0,0.9280580724181484,0.9576268053080778,0.9065626053893742,0.9557061815463529,1.0506253420301852,0.9110047013194821,0.9452809795352102,0.0560064291709417,0.01515526356139965,0.07116331012165826,0.08589603256055986,0.0315960478425142,0.09688973020910573,0.05115328897523539,3,0.9592896845098146,0.8892461596367923
b1:v2:h12:tr_4rt:ed_logit:geo1:dyn1:lw_obj:enc_mlp:sp_joint:hd_sh:dec_leg:nz_glob:us_none:z16:w64:ep300:pat30:bs8:m128:lr0.001:hs_path:cal1:id0:fit_all:vm256:wd0.0:pipe_aux025:mask0.5:mr0.5:mg0.3:mo0.2,3.0,0.9581629261649581,1.0213574473736031,0.9083749799407048,0.9838254929145424,1.1133569174912181,0.9758889824462268,0.9830553727137658,0.06920254906022677,0.019592368826357863,0.13121720078866897,0.08681359043866532,0.09481826722987181,0.2506839758858253,0.07101097621078026,3,0.9877631379352717,0.964224311827742
b1:v2:h12:tr_4rt:ed_logit:geo1:dyn1:lw_obj:enc_mlp:sp_joint:hd_sh:dec_leg:nz_glob:us_none:z16:w64:ep300:pat30:bs8:m128:lr0.001:hs_path:cal1:id0:fit_all:vm256:wd0.0:pipe_flag:mask0.5:mr0.5:mg0.3:mo0.2,4.0,0.9444802494928766,1.0297231714808595,0.8495106545665184,0.9412770113403864,1.0895506874728174,0.9061135771995991,0.9907320869503757,0.06161469559097778,0.028609776903352233,0.03386289558978197,0.05672505573916395,0.050950774099666744,0.09100898333392092,0.054014863339622646,3,0.9970309662198361,0.9655365698725347
b1:v2:h12:tr_4rt:ed_logit:geo1:dyn1:lw_obj:enc_mlp:sp_none:hd_sh:dec_leg:nz_glob:us_none:z16:w64:ep300:pat30:bs8:m128:lr0.001:hs_sh:cal1:id0:fit_targ:vm256:wd0.0:pipe_aux025:mask0.5:mr0.5:mg0.3:mo0.2,5.0,0.9427809786169862,0.9860545238845067,1.224068905800622,0.9556614362555312,0.9910426686736562,1.1314706681046358,1.0028129235480687,0.025273609169713687,0.056591359066470295,0.18939620975792698,0.051051158451692814,0.08811085181300615,0.06895441603952088,0.023031975584905436,3,1.0132985146085867,0.9608705593059964
b1:v2:h12:tr_4rt:ed_logit:geo1:dyn1:lw_obj:enc_msc:sp_none:hd_sh:dec_leg:nz_glob:us_none:z16:w64:ep300:pat30:bs8:m128:lr0.001:hs_sh:cal1:id0:fit_targ:vm256:wd0.0:pipe_aux025:mask0.5:mr0.5:mg0.3:mo0.2,6.0,0.9710373632210576,1.036018269671224,1.0398307145385755,0.8700046367203621,0.9614029882129276,1.1533315379156466,1.009913777783999,0.1466715670857316,0.02817359796880788,0.050162528885443085,0.009304625473494723,0.04570187785573608,0.18517364783870463,0.08510384435371074,3,1.026356636374368,0.9441423434225236
b1:v2:h12:tr_4rt:ed_logit:geo1:dyn1:lw_obj:enc_mlp:sp_none:hd_sh:dec_leg:nz_glob:us_none:z16:w64:ep300:pat30:bs8:m128:lr0.001:hs_sh:cal1:id0:fit_targ:vm256:wd0.0:pipe_flag:mask0.5:mr0.5:mg0.3:mo0.2,7.0,1.0193393002287399,0.9797934768368396,0.963970620215898,0.8992901251200401,1.018857613909879,0.9567196059155135,1.0286330919518956,0.05150782202372364,0.0367192492209382,0.04119250448377475,0.04443934303408552,0.13680959248457,0.280077588586468,0.0706674059726777,3,1.036437771103154,0.9974143753468616
b1:v2:h12:tr_4rt:ed_logit:geo1:dyn1:lw_obj:enc_msc:sp_none:hd_sh:dec_leg:nz_glob:us_none:z16:w64:ep300:pat30:bs8:m128:lr0.001:hs_sh:cal1:id0:fit_targ:vm256:wd0.0:pipe_flag:mask0.5:mr0.5:mg0.3:mo0.2,8.0,0.9781516768387218,1.135613399624621,1.0257947641482434,0.8879219122157616,0.9851354651365319,1.123400959991499,1.032121154010822,0.056413622203310525,0.019672332928809908,0.13580240303055188,0.06300768764825145,0.0591591732428424,0.10548553864851082,0.0304628002408817,3,1.0446304972622642,0.9820837810050524
b1:v2:h12:tr_4rt:ed_logit:geo1:dyn1:lw_obj:enc_mlp:sp_none:hd_sh:dec_leg:nz_glob:us_none:z16:w64:ep300:pat30:bs8:m128:lr0.001:hs_sh:cal1:id0:fit_targ:vm256:wd0.0:pipe_direct:mask0.5:mr0.5:mg0.3:mo0.2,9.0,1.0312566849894775,0.9401318794149911,0.9774923750927154,1.021072093416012,0.9861344021498649,0.8568893927947872,1.0377144104783094,0.02101727402420599,0.009147877336955691,0.05637430661744601,0.16347362302689555,0.033040675816757105,0.09230275674082536,0.02933572751616885,3,1.037812077195517,1.0373237436094778
b1:v2:h12:tr_4rt:ed_logit:geo1:dyn1:lw_obj:enc_msc:sp_none:hd_sh:dec_leg:nz_glob:us_none:z16:w64:ep300:pat30:bs8:m128:lr0.001:hs_sh:cal1:id0:fit_targ:vm256:wd0.0:pipe_direct:mask0.5:mr0.5:mg0.3:mo0.2,10.0,1.0515810663138123,1.0118508646882631,1.115410428619311,1.0533880471430932,1.0266427742098228,0.8313693456297262,1.0696909354202127,0.028834868104726814,0.06334592505254989,0.22220409859641516,0.12248857523668245,0.08702286710713718,0.042284143368327295,0.042059752656142646,3,1.079221141465139,1.0315701112405062
b1:v2:h12:tr_4rt:ed_logit:geo1:dyn1:lw_obj:enc_mlp:sp_joint:hd_sh:dec_leg:nz_glob:us_none:z16:w64:ep300:pat30:bs8:m128:lr0.001:hs_path:cal1:id0:fit_all:vm256:wd0.0:pipe_direct:mask0.5:mr0.5:mg0.3:mo0.2,11.0,1.0685951073002897,1.0198020439739643,0.9272159677956114,0.9539825851021098,1.112688409345,0.8132769388435906,1.0860970805073251,0.23199627677093895,0.02984144268142443,0.12694174616734918,0.020313743455488743,0.03439877577321841,0.09311777824663231,0.2409791753395355,3,1.086090910621482,1.0861217600506972
b1:v2:h12:tr_4rt:ed_logit:geo1:dyn1:lw_obj:enc_mlp:sp_none:hd_sh:dec_leg:nz_glob:us_none:z16:w64:ep300:pat30:bs8:m128:lr0.001:hs_sh:cal1:id0:fit_path:vm256:wd0.0:pipe_direct:mask0.5:mr0.5:mg0.3:mo0.2,12.0,1.1428102819463295,0.9472884386179029,0.9441154414330831,0.9573228459710407,1.0282103666593028,0.9044456571608039,1.125710254244219,0.13326579278616793,0.01145314181260068,0.11524430379963255,0.09669325011632013,0.06603558278131616,0.1700629089144366,0.1378511802722031,3,1.1178388319189774,1.1571959435451848
b1:v2:h12:tr_4rt:ed_logit:geo1:dyn1:lw_obj:enc_mlp:sp_joint:hd_sh:dec_leg:nz_glob:us_none:z16:w64:ep300:pat30:bs8:m128:lr0.001:hs_path:cal1:id0:fit_all:vm256:wd0.0:pipe_two:mask0.5:mr0.5:mg0.3:mo0.2,13.0,1.20439754737478,1.0260546717588697,0.9031124416064212,0.9729735801732429,1.347016747996842,0.7320606464859987,1.1939110183095998,0.04513288371667008,0.08211445057982736,0.11797172923590565,0.06090171698723651,0.32452418168073716,0.044855390063153026,0.0965250503778392,3,1.178436134984843,1.2558105516086249
