target,lag_days,geography,pair,source_matched,season,n,weeks,locations,final_total,net_revision_pct,absolute_revision_pct,median_reported_pct,p10_reported_pct,p90_reported_pct,downward_pct
nhsn_covid_admissions,4,US,2024-2025 vs 2025-2026,False,2024-2025,34,34,1,267074.0,7.590780083422572,14.879396721507897,87.95371507500884,85.05976725267097,93.20848330985875,2.941176470588235
nhsn_covid_admissions,4,US,2024-2025 vs 2025-2026,False,2025-2026,34,34,1,114961.0,10.23912457268117,10.23912457268117,90.39442543318512,86.68161108770376,93.02124809097852,0.0
nhsn_covid_admissions,4,US,2024-2025 vs 2025-2026,True,2024-2025,34,34,1,267074.0,7.590780083422572,14.879396721507897,87.95371507500884,85.05976725267097,93.20848330985875,2.941176470588235
nhsn_covid_admissions,4,US,2024-2025 vs 2025-2026,True,2025-2026,34,34,1,114961.0,10.23912457268117,10.23912457268117,90.39442543318512,86.68161108770376,93.02124809097852,0.0
nhsn_covid_admissions,4,states,2024-2025 vs 2025-2026,False,2024-2025,1734,34,51,263390.0,7.478264171001177,15.922016781198982,91.42857142857143,64.91228070175438,100.0,4.2675893886966545
nhsn_covid_admissions,4,states,2024-2025 vs 2025-2026,False,2025-2026,1734,34,51,114214.0,10.25531020715499,10.75787556691824,94.11764705882352,66.66666666666666,100.0,3.2871972318339098
nhsn_covid_admissions,4,states,2024-2025 vs 2025-2026,True,2024-2025,1734,34,51,263390.0,7.478264171001177,15.922016781198982,91.42857142857143,64.91228070175438,100.0,4.2675893886966545
nhsn_covid_admissions,4,states,2024-2025 vs 2025-2026,True,2025-2026,1734,34,51,114214.0,10.25531020715499,10.75787556691824,94.11764705882352,66.66666666666666,100.0,3.2871972318339098
nhsn_covid_admissions,11,US,2024-2025 vs 2025-2026,False,2024-2025,38,38,1,315429.0,6.157645619140916,6.157645619140916,94.28694320433819,91.51704828611362,96.79573825159733,0.0
nhsn_covid_admissions,11,US,2024-2025 vs 2025-2026,False,2025-2026,38,38,1,139761.0,3.724930416926038,3.724930416926038,96.63406466314106,94.97344938445856,98.4090206711566,0.0
nhsn_covid_admissions,11,US,2024-2025 vs 2025-2026,True,2024-2025,38,38,1,315429.0,6.157645619140916,6.157645619140916,94.28694320433819,91.51704828611362,96.79573825159733,0.0
nhsn_covid_admissions,11,US,2024-2025 vs 2025-2026,True,2025-2026,38,38,1,139761.0,3.724930416926038,3.724930416926038,96.63406466314106,94.97344938445856,98.4090206711566,0.0
nhsn_covid_admissions,11,states,2024-2025 vs 2025-2026,False,2024-2025,1938,38,51,311346.0,6.012924527695875,7.126797839060081,97.90575916230367,82.32299465240641,100.0,5.314757481940145
nhsn_covid_admissions,11,states,2024-2025 vs 2025-2026,False,2025-2026,1938,38,51,138938.0,3.7254026976061265,3.9989059868430523,100.0,87.5,100.0,2.5799793601651184
nhsn_covid_admissions,11,states,2024-2025 vs 2025-2026,True,2024-2025,1938,38,51,311346.0,6.012924527695875,7.126797839060081,97.90575916230367,82.32299465240641,100.0,5.314757481940145
nhsn_covid_admissions,11,states,2024-2025 vs 2025-2026,True,2025-2026,1938,38,51,138938.0,3.7254026976061265,3.9989059868430523,100.0,87.5,100.0,2.5799793601651184
nhsn_flu_admissions,4,US,2023-2024 vs 2024-2025,False,2023-2024,20,20,1,185491.0,3.7888630715236857,3.7920977298089933,96.71782891528164,94.23087625068376,99.39525368661243,5.0
