date,season,target,lag_days,geography,n,weeks,locations,final_total,net_revision_pct,absolute_revision_pct,median_reported_pct,p10_reported_pct,p90_reported_pct,downward_pct
2023-09-16,2023-2024,nhsn_flu_admissions,11,US,1,1,1,818.0,-3.9119804400977993,3.9119804400977993,103.91198044009779,103.91198044009779,103.91198044009779,100.0
2023-09-16,2023-2024,nhsn_flu_admissions,11,states,51,1,51,756.0,-4.497354497354498,6.084656084656085,100.0,100.0,104.27382053654024,13.725490196078432
2023-09-23,2023-2024,nhsn_flu_admissions,4,US,1,1,1,879.0,-11.262798634812286,11.262798634812286,111.26279863481227,111.26279863481227,111.26279863481227,100.0
2023-09-23,2023-2024,nhsn_flu_admissions,4,states,51,1,51,791.0,-12.895069532237674,14.664981036662452,100.0,100.0,135.83333333333334,33.33333333333333
2023-09-23,2023-2024,nhsn_flu_admissions,11,US,1,1,1,879.0,-11.604095563139932,11.604095563139932,111.60409556313992,111.60409556313992,111.60409556313992,100.0
2023-09-23,2023-2024,nhsn_flu_admissions,11,states,51,1,51,791.0,-13.274336283185841,13.780025284450064,100.0,100.0,135.83333333333334,31.372549019607842
2023-09-30,2023-2024,nhsn_flu_admissions,4,US,1,1,1,1025.0,-9.75609756097561,9.75609756097561,109.75609756097562,109.75609756097562,109.75609756097562,100.0
2023-09-30,2023-2024,nhsn_flu_admissions,4,states,51,1,51,924.0,-10.930735930735931,11.58008658008658,100.0,100.0,129.33333333333331,37.254901960784316
2023-09-30,2023-2024,nhsn_flu_admissions,11,US,1,1,1,1025.0,-9.853658536585366,9.853658536585366,109.85365853658537,109.85365853658537,109.85365853658537,100.0
2023-09-30,2023-2024,nhsn_flu_admissions,11,states,51,1,51,924.0,-11.03896103896104,11.688311688311689,100.0,100.0,129.33333333333331,37.254901960784316
2023-10-07,2023-2024,nhsn_flu_admissions,4,US,1,1,1,1110.0,-3.873873873873874,3.873873873873874,103.87387387387388,103.87387387387388,103.87387387387388,100.0
2023-10-07,2023-2024,nhsn_flu_admissions,4,states,51,1,51,1000.0,-4.4,7.2,100.0,92.47058823529412,110.87301587301587,17.647058823529413
2023-10-07,2023-2024,nhsn_flu_admissions,11,US,1,1,1,1110.0,-4.1441441441441444,4.1441441441441444,104.14414414414415,104.14414414414415,104.14414414414415,100.0
2023-10-07,2023-2024,nhsn_flu_admissions,11,states,51,1,51,1000.0,-4.7,6.1,100.0,100.0,105.02100840336135,15.686274509803921
2023-10-14,2023-2024,nhsn_flu_admissions,4,US,1,1,1,1219.0,-2.2149302707136997,2.2149302707136997,102.21493027071371,102.21493027071371,102.21493027071371,100.0
2023-10-14,2023-2024,nhsn_flu_admissions,4,states,51,1,51,1111.0,-2.8802880288028803,8.82088208820882,100.0,87.62626262626263,116.66666666666667,23.52941176470588
2023-10-14,2023-2024,nhsn_flu_admissions,11,US,1,1,1,1219.0,-2.7891714520098443,2.7891714520098443,102.78917145200985,102.78917145200985,102.78917145200985,100.0
2023-10-14,2023-2024,nhsn_flu_admissions,11,states,51,1,51,1111.0,-3.5103510351035103,6.570657065706571,100.0,100.0,106.86127744510978,13.725490196078432
2023-10-21,2023-2024,nhsn_flu_admissions,4,US,1,1,1,1463.0,-0.7518796992481203,0.7518796992481203,100.75187969924812,100.75187969924812,100.75187969924812,100.0
2023-10-21,2023-2024,nhsn_flu_admissions,4,states,51,1,51,1347.0,-1.1135857461024499,6.310319227913883,100.0,86.23376623376623,116.63157894736844,19.607843137254903
2023-10-21,2023-2024,nhsn_flu_admissions,11,US,1,1,1,1463.0,-1.9822282980177717,1.9822282980177717,101.98222829801777,101.98222829801777,101.98222829801777,100.0
2023-10-21,2023-2024,nhsn_flu_admissions,11,states,51,1,51,1347.0,-2.4498886414253898,3.4892353377876764,100.0,97.49437359339834,108.04407713498625,15.686274509803921
2023-10-28,2023-2024,nhsn_flu_admissions,4,US,1,1,1,1615.0,0.1238390092879257,0.1238390092879257,99.87616099071207,99.87616099071207,99.87616099071207,0.0
2023-10-28,2023-2024,nhsn_flu_admissions,4,states,51,1,51,1442.0,-0.4854368932038835,4.230235783633842,100.0,95.80827067669173,106.8095238095238,19.607843137254903
2023-10-28,2023-2024,nhsn_flu_admissions,11,US,1,1,1,1615.0,-0.3715170278637771,0.3715170278637771,100.37151702786377,100.37151702786377,100.37151702786377,100.0
2023-10-28,2023-2024,nhsn_flu_admissions,11,states,51,1,51,1442.0,-1.0402219140083218,3.1206657420249653,100.0,98.29459072380743,106.11764705882354,17.647058823529413
2023-11-04,2023-2024,nhsn_flu_admissions,4,US,1,1,1,2016.0,0.5456349206349206,0.5456349206349206,99.45436507936508,99.45436507936508,99.45436507936508,0.0
2023-11-04,2023-2024,nhsn_flu_admissions,4,states,51,1,51,1867.0,0.32137118371719336,4.177825388323513,100.0,87.28260869565217,109.16666666666666,19.607843137254903
2023-11-04,2023-2024,nhsn_flu_admissions,11,US,1,1,1,2016.0,0.1488095238095238,0.1488095238095238,99.85119047619048,99.85119047619048,99.85119047619048,0.0
2023-11-04,2023-2024,nhsn_flu_admissions,11,states,51,1,51,1867.0,-0.10712372790573112,2.035350830208891,100.0,100.0,103.28424153166421,13.725490196078432
2023-11-11,2023-2024,nhsn_flu_admissions,4,US,1,1,1,2779.0,0.5757466714645556,0.5757466714645556,99.42425332853544,99.42425332853544,99.42425332853544,0.0
2023-11-11,2023-2024,nhsn_flu_admissions,4,states,51,1,51,2621.0,0.2289202594429607,1.9839755818389928,100.0,97.32854864433811,105.37698412698413,21.568627450980394
2023-11-11,2023-2024,nhsn_flu_admissions,11,US,1,1,1,2779.0,0.647715005397625,0.647715005397625,99.35228499460239,99.35228499460239,99.35228499460239,0.0
2023-11-11,2023-2024,nhsn_flu_admissions,11,states,51,1,51,2621.0,0.30522701259061424,1.0682945440671499,100.0,99.43797581728616,100.54500245757076,11.76470588235294
2023-11-18,2023-2024,nhsn_flu_admissions,4,US,1,1,1,3493.0,0.0286286859433152,0.0286286859433152,99.97137131405668,99.97137131405668,99.97137131405668,0.0
2023-11-18,2023-2024,nhsn_flu_admissions,4,states,51,1,51,3381.0,0.059154096421177166,2.602780242531795,100.0,96.96676782436026,105.05555555555557,23.52941176470588
2023-11-18,2023-2024,nhsn_flu_admissions,11,US,1,1,1,3493.0,-0.286286859433152,0.286286859433152,100.28628685943315,100.28628685943315,100.28628685943315,100.0
2023-11-18,2023-2024,nhsn_flu_admissions,11,states,51,1,51,3381.0,-0.26619343389529726,2.0999704229517895,100.0,98.53353814644137,101.53787590407308,13.725490196078432
2023-11-25,2023-2024,nhsn_flu_admissions,4,US,1,1,1,4383.0,1.7111567419575633,1.7111567419575633,98.28884325804243,98.28884325804243,98.28884325804243,0.0
2023-11-25,2023-2024,nhsn_flu_admissions,4,states,51,1,51,4264.0,1.7589118198874296,4.338649155722327,100.0,90.47619047619048,105.12820512820514,17.647058823529413
2023-11-25,2023-2024,nhsn_flu_admissions,11,US,1,1,1,4383.0,0.43349304129591604,0.43349304129591604,99.56650695870408,99.56650695870408,99.56650695870408,0.0
2023-11-25,2023-2024,nhsn_flu_admissions,11,states,51,1,51,4264.0,0.4455909943714822,2.8377110694183867,100.0,98.07692307692307,101.13636363636364,15.686274509803921
2023-12-02,2023-2024,nhsn_flu_admissions,4,US,1,1,1,5960.0,1.9463087248322148,1.9463087248322148,98.0536912751678,98.0536912751678,98.0536912751678,0.0
2023-12-02,2023-2024,nhsn_flu_admissions,4,states,51,1,51,5871.0,2.0098790665985353,4.019758133197071,100.0,86.95652173913044,102.66272189349112,21.568627450980394
2023-12-02,2023-2024,nhsn_flu_admissions,11,US,1,1,1,5960.0,-0.20134228187919462,0.20134228187919462,100.2013422818792,100.2013422818792,100.2013422818792,100.0
2023-12-02,2023-2024,nhsn_flu_admissions,11,states,51,1,51,5871.0,-0.170328734457503,1.601090103900528,100.0,97.33333333333334,101.19047619047619,21.568627450980394
2023-12-09,2023-2024,nhsn_flu_admissions,4,US,1,1,1,7485.0,3.2197728790915163,3.2197728790915163,96.78022712090848,96.78022712090848,96.78022712090848,0.0
2023-12-09,2023-2024,nhsn_flu_admissions,4,states,51,1,51,7436.0,3.4158149542764926,6.589564281871974,100.0,78.57142857142857,106.42857142857143,29.411764705882355
2023-12-09,2023-2024,nhsn_flu_admissions,11,US,1,1,1,7485.0,2.832331329325317,2.832331329325317,97.16766867067467,97.16766867067467,97.16766867067467,0.0
2023-12-09,2023-2024,nhsn_flu_admissions,11,states,51,1,51,7436.0,3.025820333512641,4.6664873587950515,100.0,96.875,104.22535211267605,27.450980392156865
2023-12-16,2023-2024,nhsn_flu_admissions,4,US,1,1,1,10294.0,3.2154653196036524,3.2154653196036524,96.78453468039635,96.78453468039635,96.78453468039635,0.0
2023-12-16,2023-2024,nhsn_flu_admissions,4,states,51,1,51,10236.0,3.223915592028136,4.572098475967175,100.0,90.99567099567099,106.17977528089888,25.49019607843137
2023-12-16,2023-2024,nhsn_flu_admissions,11,US,1,1,1,10294.0,2.6034583252380026,2.6034583252380026,97.39654167476199,97.39654167476199,97.39654167476199,0.0
2023-12-16,2023-2024,nhsn_flu_admissions,11,states,51,1,51,10236.0,2.6084407971864008,3.5267682688550215,100.0,95.48693586698337,102.32558139534885,21.568627450980394
2023-12-23,2023-2024,nhsn_flu_admissions,4,US,1,1,1,15755.0,3.5988575055537924,3.5988575055537924,96.40114249444622,96.40114249444622,96.40114249444622,0.0
2023-12-23,2023-2024,nhsn_flu_admissions,4,states,51,1,51,15692.0,3.5941881213357125,5.149120570991588,98.09069212410502,80.6970509383378,111.39240506329114,31.372549019607842
2023-12-23,2023-2024,nhsn_flu_admissions,11,US,1,1,1,15755.0,3.0910821961282133,3.0910821961282133,96.90891780387179,96.90891780387179,96.90891780387179,0.0
2023-12-23,2023-2024,nhsn_flu_admissions,11,states,51,1,51,15692.0,3.084374203415753,3.887331124139689,100.0,94.04424276800908,102.20264317180616,23.52941176470588
2023-12-30,2023-2024,nhsn_flu_admissions,4,US,1,1,1,21720.0,3.494475138121547,3.494475138121547,96.50552486187846,96.50552486187846,96.50552486187846,0.0
2023-12-30,2023-2024,nhsn_flu_admissions,4,states,51,1,51,21652.0,3.4869757990024017,5.251246997967855,99.69992498124532,89.72972972972974,105.88235294117648,37.254901960784316
2023-12-30,2023-2024,nhsn_flu_admissions,11,US,1,1,1,21720.0,2.527624309392265,2.527624309392265,97.47237569060773,97.47237569060773,97.47237569060773,0.0
2023-12-30,2023-2024,nhsn_flu_admissions,11,states,51,1,51,21652.0,2.517088490670608,4.493811195270645,100.0,95.09536784741145,102.96296296296296,31.372549019607842
2024-01-06,2023-2024,nhsn_flu_admissions,4,US,1,1,1,19554.0,0.664825611128158,0.664825611128158,99.33517438887183,99.33517438887183,99.33517438887183,0.0
2024-01-06,2023-2024,nhsn_flu_admissions,4,states,51,1,51,19501.0,0.6666324803856213,2.820368186246859,100.0,95.51020408163265,103.18471337579618,45.09803921568628
