season,target,lag_days,geography,source,n,weeks,locations,final_total,net_revision_pct,absolute_revision_pct,median_reported_pct,p10_reported_pct,p90_reported_pct,downward_pct
2023-2024,nhsn_flu_admissions,4,US,hub_flusight_current,32,32,1,242331.0,3.2406089192055494,3.474173754080163,97.88049936303635,95.15856136074915,102.06862521356716,18.75
2023-2024,nhsn_flu_admissions,4,states,hub_flusight_current,1632,32,51,239896.0,3.2472404708707105,5.442358355287291,100.0,90.22314708226335,106.46605681271065,27.573529411764707
2023-2024,nhsn_flu_admissions,11,US,hub_flusight_current,33,33,1,243149.0,2.8505155275160496,3.156500746455877,97.39654167476199,95.78376022325375,103.68741864248021,27.27272727272727
2023-2024,nhsn_flu_admissions,11,states,hub_flusight_current,1683,33,51,240652.0,2.8518358459518307,4.592108106311188,100.0,95.91836734693877,103.59712230215827,24.539512774806894
2023-2024,nssp_covid_proportion,11,US,delphi_nssp,12,12,1,0.09269999945536256,6.580364676887602,6.580364676887602,93.96969844178041,91.26935063036778,94.86816791728636,0.0
2023-2024,nssp_covid_proportion,11,states,delphi_nssp,574,12,48,4.220500006573275,7.013387262345333,7.292975170020407,94.11764343343293,82.89361417719833,100.0,4.878048780487805
2023-2024,nssp_flu_proportion,11,US,delphi_nssp,12,12,1,0.04260000050999224,3.051644803915035,3.051644803915035,96.73739719430614,94.76316021578745,99.80769173939265,0.0
2023-2024,nssp_flu_proportion,11,states,delphi_nssp,574,12,48,2.092800006896141,6.03497782014621,6.7039381166147285,96.24999490682991,81.25000227373681,100.0,6.620209059233449
2023-2024,nssp_rsv_proportion,11,US,delphi_nssp,12,12,1,0.003599999996367842,16.666669496205742,16.666669496205742,92.85713741254892,52.49999981810106,100.0,0.0
2023-2024,nssp_rsv_proportion,11,states,delphi_nssp,572,12,48,0.19910000076924916,15.670519151920603,16.474135613700778,99.99999029872365,50.0,100.0,1.2237762237762237
2024-2025,nhsn_covid_admissions,4,US,hub_covid_current,34,34,1,267074.0,7.590780083422572,14.879396721507897,87.95371507500884,85.05976725267097,93.20848330985875,2.941176470588235
2024-2025,nhsn_covid_admissions,4,states,hub_covid_current,1734,34,51,263390.0,7.478264171001177,15.922016781198982,91.42857142857143,64.91228070175438,100.0,4.2675893886966545
2024-2025,nhsn_covid_admissions,11,US,hub_covid_current,38,38,1,315429.0,6.157645619140916,6.157645619140916,94.28694320433819,91.51704828611362,96.79573825159733,0.0
2024-2025,nhsn_covid_admissions,11,states,hub_covid_current,1938,38,51,311346.0,6.012924527695875,7.126797839060081,97.90575916230367,82.32299465240641,100.0,5.314757481940145
2024-2025,nhsn_flu_admissions,4,US,hub_flusight_current,29,29,1,464399.0,11.446837740822009,11.563978389273018,88.65958471718682,84.20193798081038,91.78963200045851,3.4482758620689653
2024-2025,nhsn_flu_admissions,4,states,hub_flusight_current,1479,29,51,455305.0,11.01151975049692,11.955941621550389,91.92119030379669,65.45092838196287,100.0,3.515889114266396
2024-2025,nhsn_flu_admissions,11,US,hub_flusight_current,36,36,1,552118.0,5.557145392832692,5.797673685697623,94.51349145318287,89.82276259949067,96.65286150074748,8.333333333333332
2024-2025,nhsn_flu_admissions,11,states,hub_flusight_current,1836,36,51,540291.0,5.13019835607108,6.5894120020507465,98.08792614934649,80.0,100.0,5.718954248366013
2024-2025,nhsn_rsv_admissions,4,US,hub_rsv_current,33,33,1,142317.0,10.853236085639804,10.885558295916862,87.949444323382,79.63941299790356,91.80557902472415,3.0303030303030303
2024-2025,nhsn_rsv_admissions,4,states,hub_rsv_current,1683,33,51,139228.0,10.297497629787111,12.745281121613468,93.4010152284264,60.0,100.0,3.2679738562091507
2024-2025,nhsn_rsv_admissions,11,US,hub_rsv_current,37,37,1,179320.0,6.813517733660495,6.863707338835601,93.6313533374158,88.37245654103094,96.2492097331471,2.7027027027027026
2024-2025,nhsn_rsv_admissions,11,states,hub_rsv_current,1887,37,51,175153.0,5.812632384258334,8.575930757680428,100.0,78.4952120383037,100.0,5.829358770535241
