date,target,age,geography,cells,weeks,locations,final_total,net_pct,absolute_pct
2023-09-16,nhsn_flu_admissions,11,US,1,1,1,818.0,-3.9119804400977993,3.9119804400977993
2023-09-16,nhsn_flu_admissions,11,states,51,1,51,756.0,-4.497354497354498,6.084656084656085
2023-09-23,nhsn_flu_admissions,4,US,1,1,1,879.0,-11.262798634812286,11.262798634812286
2023-09-23,nhsn_flu_admissions,4,states,51,1,51,791.0,-12.895069532237674,14.664981036662452
2023-09-23,nhsn_flu_admissions,11,US,1,1,1,879.0,-11.604095563139932,11.604095563139932
2023-09-23,nhsn_flu_admissions,11,states,51,1,51,791.0,-13.274336283185841,13.780025284450064
2023-09-30,nhsn_flu_admissions,4,US,1,1,1,1025.0,-9.75609756097561,9.75609756097561
2023-09-30,nhsn_flu_admissions,4,states,51,1,51,924.0,-10.930735930735931,11.58008658008658
2023-09-30,nhsn_flu_admissions,11,US,1,1,1,1025.0,-9.853658536585366,9.853658536585366
2023-09-30,nhsn_flu_admissions,11,states,51,1,51,924.0,-11.03896103896104,11.688311688311689
2023-10-07,nhsn_flu_admissions,4,US,1,1,1,1110.0,-3.873873873873874,3.873873873873874
2023-10-07,nhsn_flu_admissions,4,states,51,1,51,1000.0,-4.4,7.2
2023-10-07,nhsn_flu_admissions,11,US,1,1,1,1110.0,-4.1441441441441444,4.1441441441441444
2023-10-07,nhsn_flu_admissions,11,states,51,1,51,1000.0,-4.7,6.1
2023-10-14,nhsn_flu_admissions,4,US,1,1,1,1219.0,-2.2149302707136997,2.2149302707136997
2023-10-14,nhsn_flu_admissions,4,states,51,1,51,1111.0,-2.8802880288028803,8.82088208820882
2023-10-14,nhsn_flu_admissions,11,US,1,1,1,1219.0,-2.7891714520098443,2.7891714520098443
2023-10-14,nhsn_flu_admissions,11,states,51,1,51,1111.0,-3.5103510351035103,6.570657065706571
2023-10-21,nhsn_flu_admissions,4,US,1,1,1,1463.0,-0.7518796992481203,0.7518796992481203
2023-10-21,nhsn_flu_admissions,4,states,51,1,51,1347.0,-1.1135857461024499,6.310319227913883
2023-10-21,nhsn_flu_admissions,11,US,1,1,1,1463.0,-1.9822282980177717,1.9822282980177717
2023-10-21,nhsn_flu_admissions,11,states,51,1,51,1347.0,-2.4498886414253898,3.4892353377876764
2023-10-28,nhsn_flu_admissions,4,US,1,1,1,1615.0,0.1238390092879257,0.1238390092879257
2023-10-28,nhsn_flu_admissions,4,states,51,1,51,1442.0,-0.4854368932038835,4.230235783633842
2023-10-28,nhsn_flu_admissions,11,US,1,1,1,1615.0,-0.3715170278637771,0.3715170278637771
2023-10-28,nhsn_flu_admissions,11,states,51,1,51,1442.0,-1.0402219140083218,3.1206657420249653
2023-11-04,nhsn_flu_admissions,4,US,1,1,1,2016.0,0.5456349206349206,0.5456349206349206
2023-11-04,nhsn_flu_admissions,4,states,51,1,51,1867.0,0.32137118371719336,4.177825388323513
2023-11-04,nhsn_flu_admissions,11,US,1,1,1,2016.0,0.1488095238095238,0.1488095238095238
2023-11-04,nhsn_flu_admissions,11,states,51,1,51,1867.0,-0.10712372790573112,2.035350830208891
2023-11-11,nhsn_flu_admissions,4,US,1,1,1,2779.0,0.5757466714645556,0.5757466714645556
2023-11-11,nhsn_flu_admissions,4,states,51,1,51,2621.0,0.2289202594429607,1.9839755818389928
2023-11-11,nhsn_flu_admissions,11,US,1,1,1,2779.0,0.647715005397625,0.647715005397625
2023-11-11,nhsn_flu_admissions,11,states,51,1,51,2621.0,0.30522701259061424,1.0682945440671499
2023-11-18,nhsn_flu_admissions,4,US,1,1,1,3493.0,0.0286286859433152,0.0286286859433152
2023-11-18,nhsn_flu_admissions,4,states,51,1,51,3381.0,0.059154096421177166,2.602780242531795
2023-11-18,nhsn_flu_admissions,11,US,1,1,1,3493.0,-0.286286859433152,0.286286859433152
2023-11-18,nhsn_flu_admissions,11,states,51,1,51,3381.0,-0.26619343389529726,2.0999704229517895
2023-11-25,nhsn_flu_admissions,4,US,1,1,1,4383.0,1.7111567419575633,1.7111567419575633
2023-11-25,nhsn_flu_admissions,4,states,51,1,51,4264.0,1.7589118198874296,4.338649155722327
2023-11-25,nhsn_flu_admissions,11,US,1,1,1,4383.0,0.43349304129591604,0.43349304129591604
2023-11-25,nhsn_flu_admissions,11,states,51,1,51,4264.0,0.4455909943714822,2.8377110694183867
2023-12-02,nhsn_flu_admissions,4,US,1,1,1,5960.0,1.9463087248322148,1.9463087248322148
2023-12-02,nhsn_flu_admissions,4,states,51,1,51,5871.0,2.0098790665985353,4.019758133197071
2023-12-02,nhsn_flu_admissions,11,US,1,1,1,5960.0,-0.20134228187919462,0.20134228187919462
2023-12-02,nhsn_flu_admissions,11,states,51,1,51,5871.0,-0.170328734457503,1.601090103900528
2023-12-09,nhsn_flu_admissions,4,US,1,1,1,7485.0,3.2197728790915163,3.2197728790915163
2023-12-09,nhsn_flu_admissions,4,states,51,1,51,7436.0,3.4158149542764926,6.589564281871974
2023-12-09,nhsn_flu_admissions,11,US,1,1,1,7485.0,2.832331329325317,2.832331329325317
2023-12-09,nhsn_flu_admissions,11,states,51,1,51,7436.0,3.025820333512641,4.6664873587950515
2023-12-16,nhsn_flu_admissions,4,US,1,1,1,10294.0,3.2154653196036524,3.2154653196036524
2023-12-16,nhsn_flu_admissions,4,states,51,1,51,10236.0,3.223915592028136,4.572098475967175
2023-12-16,nhsn_flu_admissions,11,US,1,1,1,10294.0,2.6034583252380026,2.6034583252380026
2023-12-16,nhsn_flu_admissions,11,states,51,1,51,10236.0,2.6084407971864008,3.5267682688550215
2023-12-23,nhsn_flu_admissions,4,US,1,1,1,15755.0,3.5988575055537924,3.5988575055537924
2023-12-23,nhsn_flu_admissions,4,states,51,1,51,15692.0,3.5941881213357125,5.149120570991588
2023-12-23,nhsn_flu_admissions,11,US,1,1,1,15755.0,3.0910821961282133,3.0910821961282133
2023-12-23,nhsn_flu_admissions,11,states,51,1,51,15692.0,3.084374203415753,3.887331124139689
2023-12-30,nhsn_flu_admissions,4,US,1,1,1,21720.0,3.494475138121547,3.494475138121547
2023-12-30,nhsn_flu_admissions,4,states,51,1,51,21652.0,3.4869757990024017,5.251246997967855
2023-12-30,nhsn_flu_admissions,11,US,1,1,1,21720.0,2.527624309392265,2.527624309392265
2023-12-30,nhsn_flu_admissions,11,states,51,1,51,21652.0,2.517088490670608,4.493811195270645
2024-01-06,nhsn_flu_admissions,4,US,1,1,1,19554.0,0.664825611128158,0.664825611128158
2024-01-06,nhsn_flu_admissions,4,states,51,1,51,19501.0,0.6666324803856213,2.820368186246859
2024-01-06,nhsn_flu_admissions,11,US,1,1,1,19554.0,2.858750127851079,2.858750127851079
2024-01-06,nhsn_flu_admissions,11,states,51,1,51,19501.0,2.8562637813445466,4.138249320547664
2024-01-13,nhsn_flu_admissions,4,US,1,1,1,15931.0,2.2032515221894418,2.2032515221894418
2024-01-13,nhsn_flu_admissions,4,states,51,1,51,15868.0,2.199395008822788,4.405092009074868
2024-01-13,nhsn_flu_admissions,11,US,1,1,1,15931.0,4.299792856694495,4.299792856694495
2024-01-13,nhsn_flu_admissions,11,states,51,1,51,15868.0,4.304260146206201,5.388202672044366
2024-01-20,nhsn_flu_admissions,4,US,1,1,1,13312.0,4.732572115384615,4.732572115384615
2024-01-20,nhsn_flu_admissions,4,states,51,1,51,13259.0,4.728863413530433,6.373029640244362
2024-01-20,nhsn_flu_admissions,11,US,1,1,1,13312.0,4.161658653846154,4.161658653846154
2024-01-20,nhsn_flu_admissions,11,states,51,1,51,13259.0,4.155667848254017,5.196470322045403
2024-01-27,nhsn_flu_admissions,4,US,1,1,1,12997.0,5.747480187735631,5.747480187735631
2024-01-27,nhsn_flu_admissions,4,states,51,1,51,12944.0,5.755562422744129,6.883498145859085
2024-01-27,nhsn_flu_admissions,11,US,1,1,1,12997.0,3.7470185427406326,3.7470185427406326
2024-01-27,nhsn_flu_admissions,11,states,51,1,51,12944.0,3.746909765142151,4.952101359703337
2024-02-03,nhsn_flu_admissions,4,US,1,1,1,11972.0,5.963915803541597,5.963915803541597
2024-02-03,nhsn_flu_admissions,4,states,51,1,51,11934.0,5.949388302329479,7.156024803083627
2024-02-03,nhsn_flu_admissions,11,US,1,1,1,11972.0,4.677581022385566,4.677581022385566
2024-02-03,nhsn_flu_admissions,11,states,51,1,51,11934.0,4.6589576001340705,6.552706552706553
