regime,season,target,age,geography,source,cells,weeks,locations,final_total,net_pct,absolute_pct
New mandate,2024-2025,nssp_flu_proportion,11,states,delphi_nssp,343,7,49,0.38250000216794433,2.274510266190204,3.1111123083881593
New mandate,2024-2025,nssp_rsv_proportion,4,US,hub_rsv_current,7,7,1,0.0012999999671592377,15.384615384615385,15.384615384615385
New mandate,2024-2025,nssp_rsv_proportion,4,states,hub_rsv_current,350,7,50,0.05139999975654064,11.673151709552604,14.007782068449796
New mandate,2024-2025,nssp_rsv_proportion,11,US,hub_rsv_current,7,7,1,0.0012999999671592377,0.0,0.0
New mandate,2024-2025,nssp_rsv_proportion,11,states,hub_rsv_current,350,7,50,0.05139999975654064,5.642023485297878,8.754863944953389
New mandate,2025-2026,nhsn_covid_admissions,4,US,hub_covid_current,45,45,1,205199.0,10.270517887514071,10.270517887514071
New mandate,2025-2026,nhsn_covid_admissions,4,states,hub_covid_current,2295,45,51,203008.0,10.349345838587642,10.801544766708702
New mandate,2025-2026,nhsn_covid_admissions,11,US,hub_covid_current,45,45,1,205199.0,4.035107383564247,4.035107383564247
New mandate,2025-2026,nhsn_covid_admissions,11,states,hub_covid_current,2295,45,51,203008.0,4.061416298865069,4.335297131147541
New mandate,2025-2026,nhsn_flu_admissions,4,US,hub_flusight_current,34,34,1,299445.0,10.86209487551971,10.86209487551971
New mandate,2025-2026,nhsn_flu_admissions,4,states,hub_flusight_current,1744,35,51,298494.0,11.152652984649608,11.495038426233023
New mandate,2025-2026,nhsn_flu_admissions,11,US,hub_flusight_current,34,34,1,299445.0,3.839436290470704,3.839436290470704
New mandate,2025-2026,nhsn_flu_admissions,11,states,hub_flusight_current,1744,35,51,298494.0,3.8355879850181243,4.0506676851125984
New mandate,2025-2026,nhsn_rsv_admissions,4,US,hub_rsv_current,45,45,1,129686.0,10.841571179618462,10.841571179618462
New mandate,2025-2026,nhsn_rsv_admissions,4,states,hub_rsv_current,2295,45,51,128191.0,10.938365407867947,11.654484324172524
New mandate,2025-2026,nhsn_rsv_admissions,11,US,hub_rsv_current,45,45,1,129686.0,4.284965223694154,4.284965223694154
New mandate,2025-2026,nhsn_rsv_admissions,11,states,hub_rsv_current,2295,45,51,128191.0,4.309974959240508,4.451950604956666
