regime,season,target,age,geography,cells,weeks,locations,final_total,net_pct,absolute_pct
New mandate,2024-2025,nhsn_covid_admissions,4,US,34,34,1,267074.0,7.590780083422572,14.879396721507897
New mandate,2024-2025,nhsn_covid_admissions,4,states,1734,34,51,263390.0,7.478264171001177,15.922016781198982
New mandate,2024-2025,nhsn_covid_admissions,11,US,34,34,1,267074.0,5.829844911897077,5.829844911897077
New mandate,2024-2025,nhsn_covid_admissions,11,states,1734,34,51,263390.0,5.759140438133566,6.731842514901857
New mandate,2024-2025,nhsn_flu_admissions,4,US,29,29,1,464399.0,11.446837740822009,11.563978389273018
New mandate,2024-2025,nhsn_flu_admissions,4,states,1479,29,51,455305.0,11.01151975049692,11.955941621550389
New mandate,2024-2025,nhsn_flu_admissions,11,US,29,29,1,464399.0,5.848849803724814,5.965990452175823
New mandate,2024-2025,nhsn_flu_admissions,11,states,1479,29,51,455305.0,5.420761906853648,6.436784133712567
New mandate,2024-2025,nhsn_rsv_admissions,4,US,33,33,1,142317.0,10.853236085639804,10.885558295916862
New mandate,2024-2025,nhsn_rsv_admissions,4,states,1683,33,51,139228.0,10.297497629787111,12.745281121613468
New mandate,2024-2025,nhsn_rsv_admissions,11,US,33,33,1,142317.0,6.102573831657497,6.165812938721305
New mandate,2024-2025,nhsn_rsv_admissions,11,states,1683,33,51,139228.0,5.501766885971213,8.232539431723504
New mandate,2024-2025,nssp_covid_proportion,4,US,7,7,1,0.0348000000230968,4.5976993575921545,4.5976993575921545
New mandate,2024-2025,nssp_covid_proportion,4,states,350,7,50,1.417000002518762,6.210303470829029,6.379675407495116
New mandate,2024-2025,nssp_covid_proportion,11,US,7,7,1,0.0348000000230968,0.8620688386277706,0.8620688386277706
New mandate,2024-2025,nssp_covid_proportion,11,states,350,7,50,1.417000002518762,2.582921721964302,3.203951997571319
New mandate,2024-2025,nssp_flu_proportion,4,US,7,7,1,0.009200000087730587,6.521738112625977,6.521738112625977
New mandate,2024-2025,nssp_flu_proportion,4,states,343,7,49,0.38250000216794433,6.326797941306766,6.849674038872641
New mandate,2024-2025,nssp_flu_proportion,11,US,7,7,1,0.009200000087730587,2.1739137586952597,2.1739137586952597
New mandate,2024-2025,nssp_flu_proportion,11,states,343,7,49,0.38250000216794433,2.274510266190204,3.1111123083881593
