candidate,seed,target,season,geography,location,wis,scaled_wis,covered_50,covered_80,covered_90,covered_95
direct,42,wk inc covid hosp,2025-2026,US,US,902.2361259694259,0.03312393425164114,0.21844660194174756,0.39805825242718446,0.470873786407767,0.5728155339805825
direct,42,wk inc covid hosp,2025-2026,states_dc,01,20.053148568992423,0.041025264054396694,0.4563106796116505,0.6990291262135923,0.7669902912621359,0.8300970873786407
direct,42,wk inc covid hosp,2025-2026,states_dc,02,2.7372270097351996,0.0696495503451791,0.17475728155339806,0.33495145631067963,0.44660194174757284,0.5145631067961165
direct,42,wk inc covid hosp,2025-2026,states_dc,04,16.8395673136532,0.022545947435145874,0.3058252427184466,0.5728155339805825,0.6601941747572816,0.7427184466019418
direct,42,wk inc covid hosp,2025-2026,states_dc,05,7.597004449997891,0.02355660740396622,0.25728155339805825,0.5194174757281553,0.6504854368932039,0.6990291262135923
direct,42,wk inc covid hosp,2025-2026,states_dc,06,93.49353025390509,0.030604459435591754,0.3640776699029126,0.6213592233009708,0.7330097087378641,0.7912621359223301
direct,42,wk inc covid hosp,2025-2026,states_dc,08,14.336725996177426,0.03003713882849721,0.24271844660194175,0.45145631067961167,0.5679611650485437,0.6699029126213593
direct,42,wk inc covid hosp,2025-2026,states_dc,09,14.014112396563041,0.037896471531053307,0.23786407766990292,0.4563106796116505,0.5631067961165048,0.6893203883495146
direct,42,wk inc covid hosp,2025-2026,states_dc,10,4.641297186296688,0.05852834116290254,0.2621359223300971,0.49029126213592233,0.587378640776699,0.6359223300970874
direct,42,wk inc covid hosp,2025-2026,states_dc,11,3.795977727694861,0.054539917054924066,0.21359223300970873,0.4320388349514563,0.529126213592233,0.5728155339805825
direct,42,wk inc covid hosp,2025-2026,states_dc,12,94.94323279337723,0.045822028948067584,0.3883495145631068,0.5970873786407767,0.6990291262135923,0.7621359223300971
direct,42,wk inc covid hosp,2025-2026,states_dc,13,24.5111764753836,0.0234086332770343,0.33980582524271846,0.5825242718446602,0.7087378640776699,0.7669902912621359
direct,42,wk inc covid hosp,2025-2026,states_dc,15,4.223124280508206,0.03877984217693567,0.2766990291262136,0.4368932038834951,0.529126213592233,0.5728155339805825
direct,42,wk inc covid hosp,2025-2026,states_dc,16,6.181351689543427,0.03762235026658937,0.20388349514563106,0.3446601941747573,0.4320388349514563,0.5
direct,42,wk inc covid hosp,2025-2026,states_dc,17,51.0666825553917,0.03610994507040914,0.24757281553398058,0.49514563106796117,0.5825242718446602,0.6407766990291263
direct,42,wk inc covid hosp,2025-2026,states_dc,18,22.625033252166265,0.026536518320069223,0.3058252427184466,0.5485436893203883,0.6262135922330098,0.7038834951456311
