candidate,seed,target,season,geography,horizon,wis,scaled_wis,covered_50,covered_80,covered_90,covered_95
direct,42,wk inc covid hosp,2025-2026,US,0,640.5414462568175,0.023516297054127205,0.2641509433962264,0.5660377358490566,0.6037735849056604,0.7169811320754716
direct,42,wk inc covid hosp,2025-2026,US,1,826.3598665713307,0.03033827742055107,0.28846153846153844,0.38461538461538464,0.5192307692307693,0.5769230769230769
direct,42,wk inc covid hosp,2025-2026,US,2,1016.8561343740217,0.03733199632434632,0.1568627450980392,0.3137254901960784,0.37254901960784315,0.45098039215686275
direct,42,wk inc covid hosp,2025-2026,US,3,1141.6313876661218,0.041912889471180305,0.16,0.32,0.38,0.54
direct,42,wk inc covid hosp,2025-2026,states_dc,0,16.298507108002653,0.03273643828282584,0.30484646688864225,0.5390307066222716,0.6518682944876064,0.7240103588605253
direct,42,wk inc covid hosp,2025-2026,states_dc,1,19.013620526529095,0.0371989002800793,0.27828054298642535,0.5098039215686274,0.6161387631975868,0.6843891402714932
direct,42,wk inc covid hosp,2025-2026,states_dc,2,22.344628280537826,0.042168932676350045,0.26412918108419836,0.47673971549404076,0.5809304113802384,0.6528258362168397
direct,42,wk inc covid hosp,2025-2026,states_dc,3,25.24538830611384,0.04656803542184513,0.2654901960784314,0.45529411764705885,0.5466666666666666,0.6184313725490196
direct,42,wk inc covid prop ed visits,2025-2026,US,0,0.0008908328429276852,0.03418391561046293,0.32075471698113206,0.5283018867924528,0.6037735849056604,0.6792452830188679
direct,42,wk inc covid prop ed visits,2025-2026,US,1,0.0012194702347647476,0.0467947134253261,0.1346153846153846,0.28846153846153844,0.40384615384615385,0.40384615384615385
direct,42,wk inc covid prop ed visits,2025-2026,US,2,0.0014556309656562198,0.05585690568663528,0.0784313725490196,0.19607843137254902,0.23529411764705882,0.2549019607843137
direct,42,wk inc covid prop ed visits,2025-2026,US,3,0.0016206307868544092,0.062188441404429036,0.1,0.16,0.18,0.18
direct,42,wk inc covid prop ed visits,2025-2026,states_dc,0,0.0010691492713868836,0.035884699786874925,0.27450980392156865,0.4816870144284129,0.5775064742878283,0.6477987421383647
direct,42,wk inc covid prop ed visits,2025-2026,states_dc,1,0.0013371553151278637,0.044768131788096584,0.22473604826546004,0.4030920060331825,0.4924585218702866,0.5569381598793364
direct,42,wk inc covid prop ed visits,2025-2026,states_dc,2,0.0015657500550170446,0.052389649477890536,0.1987697039600154,0.3571703191080354,0.4398308342945021,0.49519415609381007
direct,42,wk inc covid prop ed visits,2025-2026,states_dc,3,0.0017588382600016864,0.058842979444965735,0.1772549019607843,0.32745098039215687,0.40705882352941175,0.4682352941176471
direct,42,wk inc flu hosp,2025-2026,US,0,871.3288711255402,0.02285932682057312,0.6530612244897959,0.8571428571428571,0.9387755102040817,0.9387755102040817
