candidate,kind,age_days,scaled_ae,scaled_wis,baseline_scaled_ae,covered_95
joint,reconstruction,4,0.046554151454791116,0.032574200092402604,,0.651809116590047
joint,reconstruction,11,0.04770710171652324,0.0343787013453003,,0.6412416540128958
joint,revision,4,0.018262914025108382,0.013287509028641847,0.02298860396775929,0.803061341556058
joint,revision,11,0.011126280032882052,0.008221081593579777,0.008685323213123567,0.8152925942180885
separate,reconstruction,4,0.06370385913179054,0.04758870937710862,,0.47697242239725907
separate,reconstruction,11,0.06323107217608141,0.0481123414110351,,0.45384106863845425
separate,revision,4,0.01784081363698375,0.013151226290057952,0.02298860396775929,0.7835819481621186
separate,revision,11,0.010585365801971456,0.00786380552560151,0.008685323213123567,0.8050358179110004
