config_id,target,wis,underprediction,overprediction,dispersion
B1 B gap-only,wk inc covid hosp,0.9192401920069687,0.3570165730299746,0.2937784728379436,0.2684451461390507
B1 B gap-only,wk inc covid prop ed visits,0.9783483471476694,0.2191347916979148,0.42688980005272636,0.3323237553970283
B1 B gap-only,wk inc flu hosp,0.948390672460737,0.3616091087301694,0.2916669035738874,0.29511466015668036
B1 B gap-only,wk inc flu prop ed visits,0.9174276176800382,0.5494901565962446,0.1609524576133605,0.20698500347043317
B1 B gap-only,wk inc rsv hosp,1.0675495354839575,0.714611791373671,0.05662716153741748,0.2963105825728691
B1 B gap-only,wk inc rsv prop ed visits,0.7724668630537894,0.33007181127388335,0.12617972787253287,0.3162153239073731
B1 B no-mask,wk inc covid hosp,0.9557124889307977,0.2955744230340393,0.4068243115712657,0.25331375432549297
B1 B no-mask,wk inc covid prop ed visits,1.0437461582590664,0.19055660443973474,0.5338555513720714,0.3193340024472602
B1 B no-mask,wk inc flu hosp,0.9405850482294561,0.42075318472233975,0.26061815685556927,0.259213706651547
B1 B no-mask,wk inc flu prop ed visits,0.9374450238612345,0.40844698603910423,0.27599503730071406,0.25300300052141617
B1 B no-mask,wk inc rsv hosp,0.9427883359457678,0.5663279961499267,0.09438645932747013,0.28207388046837095
B1 B no-mask,wk inc rsv prop ed visits,0.8109007528523088,0.3223892930956555,0.15114321946109352,0.33736824029555984
B1 gated 0.20,wk inc covid hosp,0.9597521040416453,0.3416424650459324,0.367907356417438,0.250202282578275
B1 gated 0.20,wk inc covid prop ed visits,1.07768952910863,0.17999946722996873,0.5561254781439521,0.34156458373470894
B1 gated 0.20,wk inc flu hosp,0.9583949973541382,0.24897171451394565,0.36566967053368127,0.3437536123065111
B1 gated 0.20,wk inc flu prop ed visits,0.917092708544032,0.42320301399569615,0.23964876837275717,0.2542409261755787
B1 gated 0.20,wk inc rsv hosp,0.9682001772383414,0.5880468710308798,0.0888385224324183,0.29131478377504333
B1 gated 0.20,wk inc rsv prop ed visits,0.8858108713677154,0.43770730198147345,0.12447566837562028,0.3236279010106216
B1 joint two-stage,wk inc covid hosp,1.0156997391169065,0.19833042373272078,0.4898980116368498,0.3274713037473361
B1 joint two-stage,wk inc covid prop ed visits,1.7636384672869563,0.13210707577885628,1.1121440764539892,0.5193873150541108
B1 joint two-stage,wk inc flu hosp,1.1469951411643255,0.24043535207755826,0.5417031856052786,0.36485660348148863
B1 joint two-stage,wk inc flu prop ed visits,1.0434642253679394,0.32024496267272323,0.4606886452484485,0.2625306174467675
B1 joint two-stage,wk inc rsv hosp,0.9270702161267206,0.26601878401722456,0.2903278662868242,0.3707235658226719
B1 joint two-stage,wk inc rsv prop ed visits,0.8523281274141897,0.17733054142762014,0.28661518525557783,0.38838240073099173
Forward Direct B,wk inc covid hosp,1.1620642004747357,0.5155998136304586,0.42067451764920766,0.22578986919506952
Forward Direct B,wk inc covid prop ed visits,1.3160634974467336,0.2088494281045227,0.8021852569237145,0.30502881241849655
Forward Direct B,wk inc flu hosp,1.0050594359743048,0.5266958897969953,0.24237881534936,0.23598473082794955
Forward Direct B,wk inc flu prop ed visits,1.2344661767012355,0.8695958449428769,0.15326626753834197,0.21160406422001662
Forward Direct B,wk inc rsv hosp,1.4685035200856627,1.2295027303849235,0.06019111130377486,0.17880967839696416
Forward Direct B,wk inc rsv prop ed visits,1.34007162850948,0.8086521745230005,0.19788509375243793,0.3335343602340413
Forward Joint gated,wk inc covid hosp,1.1522194395750172,0.45351539217120845,0.4732466353837384,0.22545741202007027
Forward Joint gated,wk inc covid prop ed visits,1.6912608261641369,0.11248549693139083,1.2494083742051163,0.3293669550276295
Forward Joint gated,wk inc flu hosp,1.1650252993013333,0.4930558299413543,0.4263484394823373,0.24562102987764156
Forward Joint gated,wk inc flu prop ed visits,1.1373597006653582,0.6381844554021807,0.257147391542107,0.2420278537210704
Forward Joint gated,wk inc rsv hosp,1.444785120374414,1.2237179859902858,0.05048186694786103,0.1705852674362672
Forward Joint gated,wk inc rsv prop ed visits,1.0969033807143687,0.5557068562785331,0.25031914895008317,0.2908773754857523
Forward Separate,wk inc covid hosp,0.9825371398693613,0.4969974033253706,0.2611450793859103,0.22439465715808027
Forward Separate,wk inc covid prop ed visits,1.0565358523600212,0.17623539445127082,0.5342865074075626,0.34601395050118794
Forward Separate,wk inc flu hosp,0.9567127669555698,0.4856102747304612,0.21608288250892607,0.2550196097161825
Forward Separate,wk inc flu prop ed visits,0.9925807713768399,0.5718173416295278,0.18617810384278521,0.23458532590452688
Forward Separate,wk inc rsv hosp,1.2800127765185285,1.0273496079987379,0.047860373649453634,0.20480279487033695
Forward Separate,wk inc rsv prop ed visits,1.086788086950383,0.7186039453620191,0.1130051049078451,0.2551790366805187
