target,season,model_coverage_50,model_coverage_95,ensemble_coverage_95,wis_ratio
wk inc covid hosp,2024-2025,0.3861379377621696,0.8051507170032193,0.9555458004097162,0.9875035461293251
wk inc covid hosp,2025-2026,0.37900984148448663,0.7857861918713848,0.9417399143565476,0.9557124889307979
wk inc flu hosp,2023-2024,0.3985305290207252,0.850737668286688,0.9214982403217699,0.9715396596494701
wk inc flu hosp,2024-2025,0.38162672476397974,0.8292423142096347,0.8137618010167031,0.9053675068292817
wk inc flu hosp,2025-2026,0.4271008403361345,0.815592903828198,0.8984943977591037,0.940585048229456
