config_id,seed,geography,wk inc flu hosp,wk inc covid hosp,wk inc rsv hosp,wk inc flu prop ed visits,wk inc covid prop ed visits,wk inc rsv prop ed visits,combined
B1 B gap-only,42,US,0.797987424343228,0.6909029574228184,0.8159055252764696,0.9524363966306728,1.380206618122515,0.7149648268070705,0.8507999617383657
B1 B gap-only,42,all,0.8980731691880306,0.8857063223499423,0.9782601566813941,1.0043714027757666,1.158992417687925,0.7059712661387587,0.9326015981156872
B1 B gap-only,42,states_dc,0.9230946053992314,0.9344071635817234,1.018848814532625,1.0173551543120403,1.103688867579277,0.7037228759716805,0.9530520072100176
B1 B gap-only,43,US,0.9287749501328941,0.7869935105958562,0.6993283812424421,0.7977564208624418,0.8331868484677443,0.8648229704788977,0.8139955470834965
B1 B gap-only,43,all,1.0045817145694111,0.9176980190272177,0.9756094829182475,0.9238700778788717,0.8953398545043434,0.7898385610167737,0.9338696584921935
B1 B gap-only,43,states_dc,1.0235334056785403,0.9503741461350581,1.0446797583371985,0.955398492132979,0.9108781060134932,0.7710924586512427,0.9638381863443676
B1 B gap-only,44,US,0.8644453663264242,0.8351471103532679,0.9605837600337873,0.6643350795438331,0.7823818393071014,0.9052750239352841,0.8524827129125753
B1 B gap-only,44,all,0.9425171336247694,0.9543162346437462,1.2487789668522307,0.8240413723854764,0.8807127692507399,0.8215907620058358,0.9797299526537273
B1 B gap-only,44,states_dc,0.9620350754493555,0.9841085157163657,1.3208277685568417,0.8639679455958869,0.9052955017366496,0.8006696965234738,1.0115417625890153
B1 B no-mask,42,US,0.8976378433844254,0.6252683936202934,0.5668515977119749,0.9509691763528177,1.2668896721444758,0.8945509640675908,0.8102139424442524
B1 B no-mask,42,all,0.9867313579851921,0.913521395603844,0.8623603681062585,1.0129180156657092,1.1284288940155593,0.8100743213228759,0.9418497193771925
B1 B no-mask,42,states_dc,1.0090047366353838,0.9855846460997316,0.9362375607048294,1.028405225493932,1.09381369948333,0.7889551606366971,0.9747586636104276
B1 B no-mask,43,US,0.832354750001914,0.8140117738210936,0.7724702965685109,0.8743083689844746,1.2364140895838829,0.9256240846495752,0.8748911315556633
B1 B no-mask,43,all,0.9196194918532985,0.9494742368238343,1.0221425371773354,0.9383102680058095,1.0455656956712491,0.8229271271214939,0.9543639580563875
B1 B no-mask,43,states_dc,0.9414356773161444,0.9833398525745195,1.0845605973295416,0.9543107427611431,0.9978535971930906,0.7972528877394736,0.9742321646815686
B1 B no-mask,44,US,0.8014937673869724,0.8536228088043197,0.7352097081291904,0.7285059079526582,0.9562347016030774,0.8715337447816921,0.8152141025531547
B1 B no-mask,44,all,0.9154042948498777,1.004141834364715,0.9438621025537094,0.8611067879121849,0.9572438850903906,0.7997008101125567,0.9272075496279708
B1 B no-mask,44,states_dc,0.943881926715604,1.0417715907548142,0.9960252011598392,0.8942570079020663,0.9574961809622187,0.7817425764452728,0.9552059113966747
B1 gated 0.20,42,US,0.7405412916351476,0.8730931729936896,0.6166441993043564,0.9007609433453466,1.2027220867416415,1.09914160664105,0.8514646627327139
B1 gated 0.20,42,all,0.8633226621569098,0.9620651998961519,0.9018954967042122,0.9422784222205971,1.0575616751560966,0.9312085929650915,0.9317350453173704
B1 gated 0.20,42,states_dc,0.8940180047873498,0.9843082066217673,0.973208321054176,0.9526577919394097,1.0212715722597103,0.8892253395461016,0.9518026409635342
B1 gated 0.20,43,US,1.0483755435475492,0.8759217181610754,0.9349978503854971,0.7962010500010994,1.2823282624796473,0.9014296151347402,0.9665054613115256
B1 gated 0.20,43,all,1.080310396198242,0.9802756013603591,1.1154609170091851,0.8950168790036936,1.114108947572167,0.8688157022814065,1.0255594842214266
B1 gated 0.20,43,states_dc,1.0882941093609149,1.0063640721601799,1.1605766836651072,0.9197208362543423,1.072054118845297,0.860662224068073,1.0403229899489017
