candidate,seed,target,kind,age_days,n,wis,ae_median,scaled_wis,scaled_ae,baseline_ae,baseline_scaled_ae,covered_50,covered_80,covered_90,covered_95
joint,42,wk inc covid hosp,reconstruction,4,416,170.71842430433708,232.94054162736035,0.03908603260949323,0.05938342256791747,,,0.5460784313725491,0.7789215686274511,0.8671568627450982,0.906372549019608
joint,42,wk inc covid hosp,reconstruction,11,312,228.23351847857123,292.9228141298481,0.047019944377667065,0.06992972530174751,,,0.5254901960784314,0.7679738562091505,0.8228758169934642,0.8751633986928105
joint,42,wk inc covid hosp,revision,4,2340,22.702846319657795,30.80404216934808,0.00989659060849891,0.014278890533159236,103.16523132324218,0.01844825632870197,0.4633551198257081,0.7674074074074074,0.845838779956427,0.8861873638344226
joint,42,wk inc covid hosp,revision,11,2444,11.496851113903142,15.810420374280932,0.005696125031344009,0.007760560456518395,41.99624443054199,0.00800887867808342,0.5492699207342513,0.785398414685023,0.8663329161451815,0.9060492282019191
joint,42,wk inc covid prop ed visits,reconstruction,4,510,0.0028341984819445186,0.0036505140036228114,0.09809700648207348,0.12632997862185788,,,0.11680000000000001,0.19680000000000003,0.2528,0.28480000000000005
joint,42,wk inc covid prop ed visits,reconstruction,11,306,0.0034554976268479204,0.00428679865464801,0.12034680401774075,0.14917318369640523,,,0.024,0.06666666666666665,0.10133333333333333,0.16000000000000003
joint,42,wk inc covid prop ed visits,revision,4,2201,0.0001927582912815653,0.0002616218339424195,0.006517735733522457,0.008890504536864902,0.00030161879549268634,0.010220541059970858,0.2111263109895121,0.4417692658458733,0.565982672138623,0.6800273597811217
joint,42,wk inc covid prop ed visits,revision,11,2405,0.0002103782818611882,0.00028578192783378976,0.007127486319260313,0.009745853198696072,0.00017376720206812026,0.0058394677471369505,0.13108051731330833,0.3468502294534836,0.5549436795994994,0.7038798498122654
joint,42,wk inc flu hosp,reconstruction,4,782,28.16338410990012,43.012129075433535,0.008793928695978854,0.011711300380929174,,,0.3711111111111111,0.5986274509803922,0.668235294117647,0.6984967320261438
joint,42,wk inc flu hosp,reconstruction,11,560,53.34875781816981,83.5374066607002,0.01415187181909583,0.018975411162817528,,,0.37625668449197863,0.5628520499108735,0.6270944741532978,0.6664527629233512
joint,42,wk inc flu hosp,revision,4,1818,48.200536653279656,68.9927004108276,0.01627524130639183,0.02309460245917312,220.77124938964843,0.03065193742513657,0.31276981380787605,0.5251211072664359,0.6378184214862416,0.7212588564837701
joint,42,wk inc flu hosp,revision,11,2092,30.282863332044187,50.066404302943596,0.00788569569429073,0.01146981999062086,64.90936393737793,0.009809191152453423,0.2022620755619321,0.4708871353419417,0.6609540889526543,0.770310856049737
joint,42,wk inc flu prop ed visits,reconstruction,4,667,0.0005148265964060334,0.0006546792623510478,0.008670987725823219,0.010956198942477178,,,0.23076923076923078,0.4243589743589744,0.4904977375565611,0.5336527371129448
joint,42,wk inc flu prop ed visits,reconstruction,11,413,0.00047725098548325796,0.0006287970617648591,0.007960376088976383,0.010416523047905163,,,0.161,0.37,0.451,0.538
joint,42,wk inc flu prop ed visits,revision,4,1888,0.0004438659043290568,0.0006081790674756684,0.007728314927532125,0.010550436992363769,0.0008036702289246023,0.013889180123806001,0.4236173973016078,0.6838195358319198,0.7892177570196147,0.8576590945011998
joint,42,wk inc flu prop ed visits,revision,11,2194,0.0002854175145056205,0.00037348040157503373,0.0049585896260265876,0.006457653898165928,0.00026531834155321123,0.004672226728871465,0.47788897688818494,0.6866057071543428,0.7640818873449013,0.8190750473996209
joint,42,wk inc rsv hosp,reconstruction,4,416,38.875825053436564,62.242414110070115,0.024822334900590517,0.03429120611694382,,,0.2647058823529412,0.43431372549019615,0.5220588235294118,0.5612745098039216
joint,42,wk inc rsv hosp,reconstruction,11,312,26.53440701744264,41.32402298215777,0.016769879404064745,0.023189830859857263,,,0.3032679738562091,0.4490196078431373,0.5091503267973856,0.5712418300653594
joint,42,wk inc rsv hosp,revision,4,2340,26.555799527935477,44.411942091285475,0.019266163685573663,0.027387372412360285,67.75555648803712,0.03174244090914726,0.504313725490196,0.731764705882353,0.7827450980392157,0.8150762527233116
