config_id,seed,target,season,geography,locations,us_weight_used,n,model_wis,model_dispersion,model_underprediction,model_overprediction,model_ae_median,model_covered_50,model_covered_80,model_covered_90,model_covered_95,ensemble_wis,ensemble_dispersion,ensemble_underprediction,ensemble_overprediction,ensemble_ae_median,ensemble_covered_50,ensemble_covered_80,ensemble_covered_90,ensemble_covered_95,wis_ratio,pooled_wis_ratio,model_coverage_50,model_coverage_80,model_coverage_90,model_coverage_95,ensemble_coverage_50,ensemble_coverage_80,ensemble_coverage_90,ensemble_coverage_95,candidate
forward:direct:100:64:128:8,42,wk inc covid hosp,2025-2026,all,52,0.2,9048.0,288060.86956373067,52941.673297833455,115204.76548052502,119914.43078537224,396156.3718805756,2407.0,4297.0,5236.0,5910.0,251503.70978939495,102039.96804152089,70756.4623304223,78707.27941745178,396424.6389596296,4576.0,7150.0,7993.0,8484.0,1.1739343219895784,1.1453543560249988,0.2646608068514763,0.4678837052062205,0.5652467883705208,0.6450755014649541,0.5195176921343251,0.7918187964841109,0.8741717376605818,0.9417399143565476,direct
forward:direct:100:64:128:8,42,wk inc covid hosp,2025-2026,states_dc,51,0.0,8874.0,162279.32075059912,34984.15775151573,68025.469667006,59269.69333207741,227601.1071100678,2362.0,4221.0,5148.0,5804.0,137533.1523161514,55676.68777243521,42712.03193647525,39144.43260724092,215812.05818140364,4475.0,7011.0,7848.0,8317.0,1.1915099144904655,1.1799287518515027,0.2661708361505522,0.475659229208925,0.5801217038539555,0.6540455262564797,0.5042821726391706,0.7900608519269777,0.8843813387423937,0.937232364210052,direct
forward:direct:100:64:128:8,42,wk inc covid hosp,2025-2026,US,1,1.0,174.0,125781.54881313158,17957.51554631772,47179.29581351903,60644.73745329484,168555.2647705078,45.0,76.0,88.0,106.0,113970.5574732436,46363.28026908566,28044.430393947056,39562.84681021086,180612.58077822597,101.0,139.0,145.0,167.0,1.1036319519860276,1.1036319519860276,0.2586206896551724,0.4367816091954023,0.5057471264367817,0.6091954022988506,0.5804597701149425,0.7988505747126436,0.8333333333333334,0.9597701149425288,direct
forward:direct:100:64:128:8,42,wk inc covid prop ed visits,2025-2026,all,52,0.2,5586.0,3.294623433054636,0.6999314945307583,0.4834127130882675,2.1112792254355885,4.590470775408893,1305.0,2295.0,2753.0,3094.0,2.497840456056041,1.156219767170679,0.658108762307743,0.6835119265775996,3.786811212239031,2935.0,4515.0,4987.0,5231.0,1.4804730383616749,1.3189887388791328,0.2196346393578227,0.3974317570165321,0.4835841692589098,0.5394424056015752,0.5674912912283155,0.8383349061549755,0.9090629478172731,0.9467491524238932,direct
forward:direct:100:64:128:8,42,wk inc covid prop ed visits,2025-2026,states_dc,51,0.0,5476.0,3.243339926010664,0.6901450335742101,0.4807967898339624,2.072398102602471,4.516664746362939,1288.0,2257.0,2705.0,3042.0,2.471367192877446,1.136099226909532,0.6552800492656397,0.6799879167022549,3.7540446929893,2849.0,4405.0,4877.0,5121.0,1.3662960044516288,1.3123666670651235,0.2359069355609148,0.4104260599070288,0.4953893024827281,0.5561211888201509,0.5139095685808489,0.7979186326937193,0.8863286847715913,0.9334364405298664,direct
forward:direct:100:64:128:8,42,wk inc covid prop ed visits,2025-2026,US,1,1.0,110.0,0.0512835070439714,0.0097864609565481,0.002615923254305,0.0388811228331176,0.073806029045954,17.0,38.0,48.0,52.0,0.0264732631785953,0.020120540261147,0.0028287130421033,0.0035240098753447,0.0327665192497309,86.0,110.0,110.0,110.0,1.9371811740018576,1.9371811740018576,0.1545454545454545,0.3454545454545454,0.4363636363636363,0.4727272727272727,0.7818181818181819,1.0,1.0,1.0,direct
forward:direct:100:64:128:8,42,wk inc flu hosp,2025-2026,all,52,0.2,5824.0,685284.9126031131,133264.53097258878,336121.03921610094,215899.3424144233,949259.5999224444,1988.0,3408.0,4021.0,4376.0,681987.2230434783,182493.3534782609,344539.7391304348,154954.13043478262,1021199.0,3056.0,4510.0,4990.0,5252.0,1.0121009599718265,1.0048354125241794,0.3656512605042017,0.6023809523809526,0.7096288515406163,0.7626400560224091,0.5267507002801122,0.7781162464985995,0.8568627450980393,0.8984943977591039,direct
forward:direct:100:64:128:8,42,wk inc flu hosp,2025-2026,states_dc,51,0.0,5712.0,370076.2247191621,81370.40192652846,192385.8132294544,96320.00956317924,526344.1135943193,1935.0,3332.0,3932.0,4285.0,369731.63260869565,98349.24130434784,189960.8260869565,81421.56521739133,551635.0,2996.0,4421.0,4894.0,5153.0,1.0127618728401215,1.0009320060283593,0.3387605042016807,0.5833333333333333,0.688375350140056,0.7501750700280112,0.5245098039215685,0.7739845938375353,0.8567927170868349,0.9021358543417368,direct
forward:direct:100:64:128:8,42,wk inc flu hosp,2025-2026,US,1,1.0,112.0,315208.68788395094,51894.12904606031,143735.22598664655,119579.33285124403,422915.486328125,53.0,76.0,89.0,91.0,312255.5904347826,84144.11217391305,154578.91304347827,73532.5652173913,469564.0,60.0,89.0,96.0,99.0,1.0094573084986451,1.0094573084986451,0.4732142857142857,0.6785714285714286,0.7946428571428571,0.8125,0.5357142857142857,0.7946428571428571,0.8571428571428571,0.8839285714285714,direct
forward:direct:100:64:128:8,42,wk inc flu prop ed visits,2025-2026,all,52,0.2,5768.0,43.23321893498782,7.695475937986945,31.26143305567276,4.276309941328088,60.47514193579264,1795.0,3223.0,3940.0,4359.0,37.45877201101338,10.32540181251476,18.668498595924568,8.464871602574023,55.69990955372134,3123.0,4503.0,4944.0,5204.0,1.1754985406347531,1.1541547310273992,0.2965336134453782,0.5567577030812326,0.6984593837535015,0.767436974789916,0.5629201680672271,0.7807773109243697,0.8550420168067228,0.8987394957983195,direct
forward:direct:100:64:128:8,42,wk inc flu prop ed visits,2025-2026,states_dc,51,0.0,5656.0,42.54299627369952,7.566957315781352,30.79648102428947,4.179557933628678,59.48363568230707,1768.0,3160.0,3852.0,4265.0,36.85597064220919,10.13762192450928,18.375323476701357,8.34302524099853,54.80314232063013,3048.0,4414.0,4848.0,5104.0,1.1831169158509982,1.154304052569905,0.3103991596638655,0.5553221288515406,0.6766456582633052,0.7494747899159665,0.5362394957983193,0.7773109243697479,0.8545168067226891,0.9002100840336137,direct
forward:direct:100:64:128:8,42,wk inc flu prop ed visits,2025-2026,US,1,1.0,112.0,0.6902226612882929,0.1285186222055925,0.4649520313832906,0.0967520076994094,0.991506253485568,27.0,63.0,88.0,94.0,0.6028013688041913,0.1877798880054818,0.2931751192232158,0.1218463615754933,0.8967672330912095,75.0,89.0,96.0,100.0,1.1450250397697732,1.1450250397697732,0.2410714285714285,0.5625,0.7857142857142857,0.8392857142857143,0.6696428571428571,0.7946428571428571,0.8571428571428571,0.8928571428571429,direct
forward:direct:100:64:128:8,42,wk inc rsv hosp,2025-2026,all,52,0.2,6032.0,248462.9236488193,27191.481377583943,209362.30428415863,11909.137987076749,331395.8412531752,1172.0,2213.0,2835.0,3302.0,174064.93092191094,53052.087440608055,105063.50795633462,15949.335524968266,270304.41698893777,2589.0,4305.0,4948.0,5364.0,1.4640904952657787,1.4274151739403775,0.1918526031102096,0.3644016227180529,0.459634888438134,0.5339080459770116,0.4406693711967547,0.7187964841108859,0.8279918864097365,0.8953684922244761,direct
forward:direct:100:64:128:8,42,wk inc rsv hosp,2025-2026,states_dc,51,0.0,5916.0,135709.36364337258,16631.318989643165,112415.5170341374,6662.527619592033,184266.14197339004,1151.0,2172.0,2787.0,3247.0,94740.19007535864,28170.04025877443,55907.86834298157,10662.281473602628,146919.94591427944,2532.0,4219.0,4848.0,5257.0,1.4747587907789017,1.4324371054715646,0.1945571331981068,0.3671399594320486,0.4710953346855985,0.5488505747126436,0.4279918864097364,0.7131507775524004,0.8194726166328601,0.8886071670047331,direct
forward:direct:100:64:128:8,42,wk inc rsv hosp,2025-2026,US,1,1.0,116.0,112753.56000544672,10560.16238794078,96946.78725002124,5246.6103674847145,147129.69927978516,21.0,41.0,48.0,55.0,79324.7408465523,24882.04718183363,49155.63961335304,5287.05405136564,123384.47107465832,57.0,86.0,100.0,107.0,1.421417313213288,1.421417313213288,0.1810344827586207,0.3534482758620689,0.4137931034482758,0.4741379310344827,0.4913793103448275,0.7413793103448276,0.8620689655172413,0.9224137931034484,direct
forward:direct:100:64:128:8,42,wk inc rsv prop ed visits,2025-2026,all,51,0.2,5586.0,5.440804802723456,1.4183915947179382,3.240916135399966,0.7814970726055293,8.19260494568879,1753.0,3223.0,3927.0,4318.0,4.530466183071346,1.2624880197885668,3.007839152268794,0.2601390110139662,6.751646229391804,2706.0,4144.0,4680.0,5001.0,1.3415020904181527,1.200937074214063,0.3032264411579014,0.5633353585737517,0.6914332272768352,0.7707066930927594,0.5147666229916434,0.7725612543865138,0.86154240300846,0.908627902093687,direct
forward:direct:100:64:128:8,42,wk inc rsv prop ed visits,2025-2026,states_dc,50,0.0,5475.0,5.363705794847203,1.3988978846348132,3.1958457761962547,0.7689621340161128,8.069779956778794,1724.0,3166.0,3855.0,4233.0,4.481922045837196,1.2402717937371133,2.983166568524047,0.2584836835760167,6.672332616026163,2633.0,4042.0,4572.0,4893.0,1.2798213861071217,1.1967423217074928,0.3137177361320614,0.5757908198388113,0.7021293719338819,0.7719419249245076,0.47904386432514,0.7359718382534125,0.8336847605173314,0.8925416343738655,direct
forward:direct:100:64:128:8,42,wk inc rsv prop ed visits,2025-2026,US,1,1.0,111.0,0.0770990078762531,0.019493710083125,0.0450703592037111,0.0125349385894165,0.1228249889099968,29.0,57.0,72.0,85.0,0.0485441372341502,0.0222162260514535,0.0246725837447468,0.0016553274379494,0.0793136133656412,73.0,102.0,108.0,108.0,1.5882249076622768,1.5882249076622768,0.2612612612612612,0.5135135135135135,0.6486486486486487,0.7657657657657657,0.6576576576576577,0.918918918918919,0.972972972972973,0.972972972972973,direct
forward:direct:100:64:128:8,43,wk inc covid hosp,2025-2026,all,52,0.2,9048.0,294741.8215404451,47909.1176101779,187318.67414816632,59514.02978210087,395126.20708422735,2848.0,4857.0,5721.0,6315.0,251503.70978939495,102039.96804152089,70756.4623304223,78707.27941745178,396424.6389596296,4576.0,7150.0,7993.0,8484.0,1.169167343801048,1.1719183855667854,0.3118323191345504,0.5279017354068066,0.6174442190669371,0.6805273833671401,0.5195176921343251,0.7918187964841109,0.8741717376605818,0.9417399143565476,direct
forward:direct:100:64:128:8,43,wk inc covid hosp,2025-2026,states_dc,51,0.0,8874.0,158578.62132798968,33213.91078469598,98104.045690392,27260.66485290165,222408.2736125477,2796.0,4772.0,5625.0,6210.0,137533.1523161514,55676.68777243521,42712.03193647525,39144.43260724092,215812.05818140364,4475.0,7011.0,7848.0,8317.0,1.1627785309257967,1.1530210618852137,0.315077755240027,0.5377507324768989,0.6338742393509129,0.6997971602434079,0.5042821726391706,0.7900608519269777,0.8843813387423937,0.937232364210052,direct
forward:direct:100:64:128:8,43,wk inc covid hosp,2025-2026,US,1,1.0,174.0,136163.2002124554,14695.206825481911,89214.62845777429,32253.36492919922,172717.9334716797,52.0,85.0,96.0,105.0,113970.5574732436,46363.28026908566,28044.430393947056,39562.84681021086,180612.58077822597,101.0,139.0,145.0,167.0,1.1947225953020533,1.1947225953020533,0.2988505747126437,0.4885057471264368,0.5517241379310345,0.603448275862069,0.5804597701149425,0.7988505747126436,0.8333333333333334,0.9597701149425288,direct
forward:direct:100:64:128:8,43,wk inc covid prop ed visits,2025-2026,all,52,0.2,5586.0,2.838565566227185,0.6638233973316138,0.6475276814845706,1.5272144874109808,4.082082373264701,1531.0,2684.0,3268.0,3581.0,2.497840456056041,1.156219767170679,0.658108762307743,0.6835119265775996,3.786811212239031,2935.0,4515.0,4987.0,5231.0,1.2143539592241113,1.1364078755891125,0.275585147903487,0.4691535889459766,0.5828163992869877,0.6452879428657977,0.5674912912283155,0.8383349061549755,0.9090629478172731,0.9467491524238932,direct
forward:direct:100:64:128:8,43,wk inc covid prop ed visits,2025-2026,states_dc,51,0.0,5476.0,2.801136275351084,0.6549944922401094,0.6441991094445316,1.5019426736664234,4.027137700351876,1500.0,2637.0,3204.0,3507.0,2.471367192877446,1.136099226909532,0.6552800492656397,0.6799879167022549,3.7540446929893,2849.0,4405.0,4877.0,5121.0,1.164479309412691,1.133435890637394,0.2740268894248133,0.4796238043642888,0.5830659536541891,0.6384281104004289,0.5139095685808489,0.7979186326937193,0.8863286847715913,0.9334364405298664,direct
forward:direct:100:64:128:8,43,wk inc covid prop ed visits,2025-2026,US,1,1.0,110.0,0.0374292908761011,0.0088289050915044,0.003328572040039,0.0252718137445573,0.0549446729128247,31.0,47.0,64.0,74.0,0.0264732631785953,0.020120540261147,0.0028287130421033,0.0035240098753447,0.0327665192497309,86.0,110.0,110.0,110.0,1.4138525584697916,1.4138525584697916,0.2818181818181818,0.4272727272727272,0.5818181818181818,0.6727272727272727,0.7818181818181819,1.0,1.0,1.0,direct
forward:direct:100:64:128:8,43,wk inc flu hosp,2025-2026,all,52,0.2,5824.0,594323.5934790503,185402.92343997807,307627.6634966851,101293.00654238708,897164.7792258735,2707.0,4257.0,4754.0,4993.0,681987.2230434783,182493.3534782609,344539.7391304348,154954.13043478262,1021199.0,3056.0,4510.0,4990.0,5252.0,0.9091272999998672,0.8714585455527819,0.4778711484593838,0.7558473389355742,0.8369747899159664,0.8720938375350141,0.5267507002801122,0.7781162464985995,0.8568627450980393,0.8984943977591039,direct
