candidate,seed,target,season,kind,age_days,geography,location,wis,ae_median,scaled_wis,scaled_ae,baseline_ae,baseline_scaled_ae,covered_50,covered_80,covered_90,covered_95,n,denominator_near_zero,mae_ratio,wis_ratio
joint,42,wk inc covid hosp,2025-2026,reconstruction,4,states_dc,NC,74.78906473802483,113.38103866577148,0.10502607400946211,0.15922067483920094,,,0.25,0.375,0.625,0.875,8,False,,
joint,42,wk inc covid hosp,2025-2026,reconstruction,4,states_dc,ND,6.626977470232093,9.564449071884155,0.07643576262155104,0.11031665071268874,,,0.375,0.5,0.75,0.75,8,False,,
joint,42,wk inc covid hosp,2025-2026,reconstruction,4,states_dc,NE,14.682991306056147,23.472320556640625,0.06932483265815644,0.11082310550824584,,,0.125,0.375,0.625,0.625,8,False,,
joint,42,wk inc covid hosp,2025-2026,reconstruction,4,states_dc,NH,3.9028645812169365,5.939342379570007,0.03255101349711615,0.04953582424863312,,,0.75,1.0,1.0,1.0,8,False,,
joint,42,wk inc covid hosp,2025-2026,reconstruction,4,states_dc,NJ,37.499851565982986,56.51877784729004,0.040676719765558776,0.061306869013624705,,,0.75,0.875,0.875,1.0,8,False,,
joint,42,wk inc covid hosp,2025-2026,reconstruction,4,states_dc,NM,5.194179327902587,5.357717514038086,0.034149784654668024,0.035224987008453036,,,1.0,1.0,1.0,1.0,8,False,,
joint,42,wk inc covid hosp,2025-2026,reconstruction,4,states_dc,NV,8.04049323424049,13.025094270706177,0.03871206126373547,0.06271110896857027,,,0.375,0.625,0.75,0.875,8,False,,
joint,42,wk inc covid hosp,2025-2026,reconstruction,4,states_dc,NY,76.08330190990283,115.72806167602539,0.031958394709298135,0.0486109695707493,,,0.75,0.875,0.875,0.875,8,False,,
joint,42,wk inc covid hosp,2025-2026,reconstruction,4,states_dc,OH,39.61352198434913,58.849008560180664,0.030090030882984124,0.044701112052304884,,,0.5,1.0,1.0,1.0,8,False,,
joint,42,wk inc covid hosp,2025-2026,reconstruction,4,states_dc,OK,14.781286713973335,23.53778886795044,0.03787161619081056,0.06030693560288383,,,0.5,0.875,0.875,0.875,8,False,,
joint,42,wk inc covid hosp,2025-2026,reconstruction,4,states_dc,OR,26.286327615373807,39.2613787651062,0.09699751887591812,0.1448759364026059,,,0.125,0.375,0.5,0.625,8,False,,
joint,42,wk inc covid hosp,2025-2026,reconstruction,4,states_dc,PA,95.7692729220183,162.57775115966797,0.0652024003655107,0.11068748146671889,,,0.375,0.75,0.875,0.875,8,False,,
joint,42,wk inc covid hosp,2025-2026,reconstruction,4,states_dc,RI,5.231731361643128,8.151095151901245,0.05813034846270142,0.09056772391001384,,,0.5,1.0,1.0,1.0,8,False,,
joint,42,wk inc covid hosp,2025-2026,reconstruction,4,states_dc,SC,13.161644805721615,22.67728042602539,0.03141954384146111,0.05413531644926865,,,0.375,1.0,1.0,1.0,8,False,,
joint,42,wk inc covid hosp,2025-2026,reconstruction,4,states_dc,SD,4.183223574226317,6.840736269950867,0.03782301674418337,0.061851172400879215,,,0.375,0.875,0.875,0.875,8,False,,
joint,42,wk inc covid hosp,2025-2026,reconstruction,4,states_dc,TN,14.94021023180174,20.992545127868652,0.031519436956734974,0.04428807844422644,,,0.75,1.0,1.0,1.0,8,False,,
joint,42,wk inc covid hosp,2025-2026,reconstruction,4,states_dc,TX,75.40854497619297,119.34469032287598,0.0331305961202529,0.05243385528035521,,,0.5,0.75,0.75,0.875,8,False,,
joint,42,wk inc covid hosp,2025-2026,reconstruction,4,states_dc,UT,2.011816155547681,3.371837317943573,0.009525647566368551,0.015965143660513083,,,0.625,0.875,1.0,1.0,8,False,,
joint,42,wk inc covid hosp,2025-2026,reconstruction,4,states_dc,VA,15.665818812432496,21.35403537750244,0.023497557213066195,0.03202945687170192,,,0.75,0.875,0.875,0.875,8,False,,
joint,42,wk inc covid hosp,2025-2026,reconstruction,4,states_dc,VT,2.500076342497183,4.197957634925842,0.04882963352723587,0.0819913893795512,,,0.375,0.5,1.0,1.0,8,False,,
joint,42,wk inc covid hosp,2025-2026,reconstruction,4,states_dc,WA,25.576553561195084,41.093361616134644,0.06657093904254395,0.10695826021498928,,,0.25,0.5,0.625,1.0,8,False,,
joint,42,wk inc covid hosp,2025-2026,reconstruction,4,states_dc,WI,43.83110900795978,71.16866779327393,0.07328391706590522,0.11899125681045629,,,0.125,0.25,0.5,0.75,8,False,,
joint,42,wk inc covid hosp,2025-2026,reconstruction,4,states_dc,WV,12.371890379138614,21.003037452697754,0.043440637502900045,0.07374663923477154,,,0.375,0.75,1.0,1.0,8,False,,
joint,42,wk inc covid hosp,2025-2026,reconstruction,4,states_dc,WY,2.7259378458753876,4.572733640670776,0.05212118708350377,0.08743277324868547,,,0.625,0.75,0.875,1.0,8,False,,
joint,42,wk inc covid hosp,2025-2026,reconstruction,11,US,US,1014.7011302649456,1271.4736328125,0.037252879325628985,0.04667980787260536,,,0.6666666666666666,0.8333333333333334,0.8333333333333334,0.8333333333333334,6,False,,
joint,42,wk inc covid hosp,2025-2026,reconstruction,11,states_dc,AK,1.8240390360873677,2.801953077316284,0.04641321243130262,0.07129652426681607,,,0.6666666666666666,0.8333333333333334,0.8333333333333334,0.8333333333333334,6,False,,
joint,42,wk inc covid hosp,2025-2026,reconstruction,11,states_dc,AL,20.212801189422606,30.84325917561849,0.0413518856264451,0.06309995897275299,,,0.5,0.8333333333333334,0.8333333333333334,0.8333333333333334,6,False,,
joint,42,wk inc covid hosp,2025-2026,reconstruction,11,states_dc,AR,7.569688988423002,12.569441795349121,0.0234719082822778,0.038975020695180156,,,0.5,0.8333333333333334,1.0,1.0,6,False,,
