candidate,seed,target,season,n,wis,scaled_wis,covered_50,covered_80,covered_90,covered_95
direct,42,wk inc covid hosp,2025-2026,10712,196.96906830734838,0.03826902522368747,0.266495335998477,0.47633733104892445,0.5739767751760899,0.6511707595659623
direct,42,wk inc covid prop ed visits,2025-2026,10712,0.0013998678891053897,0.048134571878578385,0.20770988006853228,0.3740909956215496,0.4563106796116505,0.5114981915096135
direct,42,wk inc flu hosp,2025-2026,9880,395.61975947806684,0.0626392178073532,0.37719298245614036,0.6150051599587204,0.7096800825593396,0.758782249742002
direct,42,wk inc flu prop ed visits,2025-2026,9880,0.004864793216907813,0.08280445682509169,0.2966357069143447,0.5369453044375645,0.6556243550051599,0.7298658410732715
direct,42,wk inc rsv hosp,2025-2026,10712,131.82052350777877,0.07248574332964497,0.22288216257376736,0.403483723586522,0.4940605368360937,0.5537216828478965
direct,42,wk inc rsv prop ed visits,2025-2026,10712,0.0006115237746712667,0.05438681249356074,0.37894536455358846,0.6289168094422235,0.7245002855511137,0.7805254140491148
direct,43,wk inc covid hosp,2025-2026,10712,229.84030412526644,0.04000703470495064,0.30291262135922337,0.5231106034646869,0.6163906339234724,0.6831144108128689
direct,43,wk inc covid prop ed visits,2025-2026,10712,0.0015306110320521386,0.05273567006812661,0.23283837806967447,0.4140491147915477,0.5158766419189035,0.5788121073672188
direct,43,wk inc flu hosp,2025-2026,9880,341.0597619707074,0.056739071818294684,0.4643343653250774,0.7297832817337462,0.8061919504643962,0.8407843137254902
direct,43,wk inc flu prop ed visits,2025-2026,9880,0.0053269112083708485,0.0905763177464002,0.284437564499484,0.49265221878224974,0.5830340557275542,0.6551909184726523
direct,43,wk inc rsv hosp,2025-2026,10712,124.54598231538958,0.06485180768026981,0.28003045878545596,0.4928802588996764,0.6120502569960022,0.6761279268989149
direct,43,wk inc rsv prop ed visits,2025-2026,10712,0.000495306153067903,0.04408501841804685,0.46940795735770047,0.6975823339044355,0.7830001903674092,0.8306681896059396
direct,44,wk inc covid hosp,2025-2026,10712,234.49882158084603,0.0427034423162395,0.27397677517608987,0.47588044926708545,0.5823719779173806,0.6571673329525987
direct,44,wk inc covid prop ed visits,2025-2026,10712,0.0014105286886799003,0.04843093682445473,0.25851894155720545,0.4417094993337141,0.5302874547877404,0.6029697315819532
direct,44,wk inc flu hosp,2025-2026,9880,449.31065278420976,0.06644670193990898,0.35133126934984515,0.5685036119711042,0.6658204334365324,0.7303199174406606
direct,44,wk inc flu prop ed visits,2025-2026,9880,0.00502740671824731,0.08528537171185495,0.29533539731682146,0.500454076367389,0.5921155830753355,0.6566976264189888
direct,44,wk inc rsv hosp,2025-2026,10712,172.8718303466795,0.0820501995279456,0.18844469826765659,0.35090424519322294,0.4431753283837807,0.5095183704549782
direct,44,wk inc rsv prop ed visits,2025-2026,10712,0.0006974718563194973,0.06194008724981381,0.3183894917190177,0.5158195316961736,0.6156101275461642,0.6782029316581002
joint,42,wk inc covid hosp,2025-2026,10712,261.7088896579524,0.046254944910279205,0.2087759375594898,0.3875499714448887,0.4876451551494384,0.5626499143346659
joint,42,wk inc covid prop ed visits,2025-2026,10712,0.0018709990823994106,0.06466020541453743,0.14926708547496667,0.27774604987626117,0.3453645535884257,0.4037692747001713
joint,42,wk inc flu hosp,2025-2026,9880,441.07947359005937,0.06806290815766887,0.3492672858617132,0.5906914344685243,0.6892672858617133,0.7573787409700722
joint,42,wk inc flu prop ed visits,2025-2026,9880,0.004835392646054778,0.08212035231237685,0.2770485036119711,0.5030340557275542,0.6230546955624355,0.6918679050567595
joint,42,wk inc rsv hosp,2025-2026,10712,146.14611954690054,0.07126771463184352,0.25844279459356556,0.4488292404340377,0.5482581382067391,0.6142775556824672
joint,42,wk inc rsv prop ed visits,2025-2026,10712,0.00045398632305634163,0.040201461565182575,0.38768322863125837,0.6367409099562156,0.7272035027603274,0.7944983818770228
joint,43,wk inc covid hosp,2025-2026,10712,198.28503634901395,0.03811631795684716,0.24664001522939272,0.4644774414620217,0.5859889586902722,0.6632400533028745
joint,43,wk inc covid prop ed visits,2025-2026,10712,0.001659928595619873,0.057233040305204375,0.18387588044926712,0.3496287835522559,0.4323814962878355,0.5014467923091568
joint,43,wk inc flu hosp,2025-2026,9880,479.15235754120283,0.07152421221846486,0.33056759545923636,0.5556656346749226,0.648998968008256,0.7112899896800826
joint,43,wk inc flu prop ed visits,2025-2026,9880,0.004865217476248537,0.08252049374569786,0.260577915376677,0.4748813209494324,0.5741382868937049,0.6430134158926729
joint,43,wk inc rsv hosp,2025-2026,10712,151.75901742161753,0.07476441686992773,0.22019798210546357,0.4048734056729488,0.4895488292404341,0.5470397867885018
joint,43,wk inc rsv prop ed visits,2025-2026,10712,0.0005290829351926368,0.0469658464312018,0.4096135541595279,0.6616219303255283,0.7565581572434799,0.816999809632591
joint,44,wk inc covid hosp,2025-2026,10712,194.3884957682272,0.0392834779325349,0.32210165619645914,0.553036360175138,0.6579478393299067,0.7250333142965925
joint,44,wk inc covid prop ed visits,2025-2026,10712,0.0016009052468025887,0.05524914351639844,0.17650866171711402,0.3497239672568056,0.44389872453835905,0.5219874357509995
joint,44,wk inc flu hosp,2025-2026,9880,509.61178321452445,0.07482044188580722,0.3146749226006192,0.5351909184726522,0.6252218782249742,0.6841692466460269
joint,44,wk inc flu prop ed visits,2025-2026,9880,0.0043562196956609235,0.07382227450642312,0.3604540763673891,0.5963467492260062,0.7078844169246646,0.7785964912280703
joint,44,wk inc rsv hosp,2025-2026,10712,133.66661319783324,0.06875654205435887,0.24823910146582903,0.4357129259470779,0.5261564820102798,0.5786788501808491
