config_id,rank,wk inc flu hosp_mean,wk inc covid hosp_mean,wk inc rsv hosp_mean,wk inc flu prop ed visits_mean,wk inc covid prop ed visits_mean,wk inc rsv prop ed visits_mean,combined_mean,wk inc flu hosp_sd,wk inc covid hosp_sd,wk inc rsv hosp_sd,wk inc flu prop ed visits_sd,wk inc covid prop ed visits_sd,wk inc rsv prop ed visits_sd,combined_sd,seeds,states_dc_combined_mean,US_combined_mean,coverage_50,coverage_80,coverage_90,coverage_95
B1 B no-mask,1.0,0.9405850482294561,0.9557124889307977,0.9427883359457678,0.9374450238612345,1.0437461582590664,0.8109007528523088,0.9411404090205169,0.04001941278303142,0.04563116065054355,0.07989649628932925,0.07590931236403342,0.08560700822639036,0.011635191973256884,0.013592092207210462,3,0.9680655798962237,0.8334397255176902,0.3993955170226377,0.6487999656421088,0.7471834321111387,0.8108772003448727
B1 B gap-only,2.0,0.948390672460737,0.9192401920069687,1.0675495354839575,0.9174276176800382,0.9783483471476694,0.7724668630537894,0.9487337364205359,0.05349664852733874,0.03433094434130049,0.156954887191831,0.09033747248623306,0.15661321167694842,0.059735239798021485,0.02685099737180501,3,0.9761439853811336,0.8390927405781459,0.4181363815507337,0.6683680816864137,0.7705749478970595,0.8319414235402505
B1 gated 0.20,3.0,0.9583949973541382,0.9597521040416453,0.9682001772383414,0.917092708544032,1.07768952910863,0.8858108713677154,0.9614764073654031,0.11095644068985198,0.021772394705022336,0.12774177011793658,0.023783752885454687,0.03159841467679159,0.03972715625141716,0.055545219109121205,3,0.9811157835351594,0.8829189026863767,0.4091944070641553,0.6654650883330356,0.7665451517249758,0.8283304451705087
Forward Separate,4.0,0.9567127669555698,0.9825371398693613,1.2800127765185285,0.9925807713768399,1.0565358523600212,1.086788086950383,1.0638255641526848,0.049333478178349786,0.04865139287690539,0.0835023888475939,0.062325707927577384,0.029738113254335775,0.28012402125333985,0.036484938485450334,3,1.0749488608235047,1.0193323774694039,0.3378530071404576,0.5814151736567419,0.6843161481669626,0.7541282623079066
B1 joint two-stage,5.0,1.1469951411643255,1.0156997391169065,0.9270702161267206,1.0434642253679394,1.7636384672869563,0.8523281274141897,1.0932178903205545,0.06207558449146948,0.06731993021810301,0.08778318438098667,0.18165251073349173,1.0842499892386375,0.0026003437225770036,0.1344615544244557,3,1.0904409864508813,1.1043255057992472,0.4113160947509607,0.6788576568910402,0.7781238120213593,0.840349320882347
Forward Direct B,6.0,1.0050594359743048,1.1620642004747357,1.4685035200856627,1.2344661767012355,1.3160634974467336,1.34007162850948,1.2402061795252062,0.09261236059634893,0.016603301006484696,0.21073334188476836,0.06949741153423777,0.14371259104013123,0.31844892998795105,0.09765214578914092,3,1.225529970175133,1.2989110169254976,0.28988475473211767,0.503524571506068,0.6084070643179981,0.6773603678948202
Forward Joint gated,7.0,1.1650252993013333,1.1522194395750172,1.444785120374414,1.1373597006653582,1.6912608261641369,1.0969033807143687,1.272175958449488,0.09092740152128385,0.15148425106671434,0.0735918175000792,0.06778134921221664,0.16501775130098464,0.16689701189535944,0.014537694777918162,3,1.2472295610429402,1.3719615480756782,0.27047260544137725,0.48077493730703785,0.5823746827332371,0.654404735162299
