label,target,season,geography,horizon,wis_mean,wis_std,wis_ratio_mean,wis_ratio_std,bias_mean,bias_std,interval_coverage_50_mean,interval_coverage_50_std,interval_coverage_95_mean,interval_coverage_95_std,dispersion_mean,dispersion_std,underprediction_mean,underprediction_std,overprediction_mean,overprediction_std
anchor,wk inc covid hosp,2024-2025,US,0,714.3723809523809,182.86677969368142,1.2234771241818292,0.31318865019633385,-0.5871428571428571,0.03536976686611411,0.37142857142857144,0.04948716593053937,0.9904761904761905,0.016495721976846414,268.5171428571429,55.42413003708178,415.7695238095239,118.48059589114612,30.085714285714285,14.210702491647709
anchor,wk inc covid hosp,2024-2025,US,1,923.9256862745096,213.06418158931922,1.1818594190990865,0.27254563178056146,-0.6083333333333333,0.08060558708286585,0.31372549019607837,0.07401798465951714,0.9901960784313726,0.016980890270283076,330.8060784313725,63.59249127778094,541.7980392156863,131.1578601060164,51.32156862745097,23.880734756344566
anchor,wk inc covid hosp,2024-2025,US,2,1145.4631313131313,217.9303425618413,1.279069278503919,0.2433496097819722,-0.6767676767676766,0.11348811879146567,0.21212121212121207,0.030303030303030304,1.0,0.0,393.4348484848485,75.85648154796965,688.8383838383838,137.75341623835777,63.189898989899,41.77958971707171
anchor,wk inc covid hosp,2024-2025,US,3,1413.6963541666667,175.13961102540512,1.4769256384951894,0.18297294258212393,-0.6958333333333333,0.09788203066489444,0.1875,0.0,0.9375,0.05412658773652741,451.26927083333334,90.24873996335882,882.2229166666666,129.61121436056698,80.20416666666667,60.441037038864025
anchor,wk inc covid hosp,2024-2025,US,all,1040.709502487562,196.6458487516479,1.300902128788968,0.24581019261096798,-0.6405472636815921,0.07754134753606277,0.2736318407960199,0.03829553313020063,0.9800995024875623,0.018780682674802797,358.7274129353234,69.28920834899706,626.3870646766169,125.45831259250801,55.59502487562188,25.720764020331117
anchor,wk inc covid hosp,2024-2025,states_dc,0,19.630085901027076,2.5091819707651117,1.0648463887639286,0.1361121583365556,-0.34766573295985054,0.036067124353996824,0.36545284780578896,0.016781805369681407,0.7970121381886087,0.033361959947630665,5.567527544351074,0.9294188190001367,11.69452847805789,1.5273115851138073,2.3680298786181138,0.1256122022618464
anchor,wk inc covid hosp,2024-2025,states_dc,1,23.989955786236063,2.7009301054827066,1.0736673089882283,0.12087977084904401,-0.4078527489427142,0.061007760055151246,0.3650519031141868,0.006650843480202315,0.8323721645520954,0.041985806343450276,6.811870434448289,1.0612003393915435,14.577777777777776,1.4424342766422182,2.6003075740099963,0.7293190920563165
anchor,wk inc covid hosp,2024-2025,states_dc,2,28.888904733610616,2.2599100845326183,1.108291359816033,0.08669898854748269,-0.4872846108140225,0.0761675727646721,0.346009110714993,0.004379747353435534,0.8407605466428997,0.047656556633453556,8.022119231530995,1.2498220119196601,18.11954842543078,1.350449684950407,2.7472370766488416,1.2350998387647703
anchor,wk inc covid hosp,2024-2025,states_dc,3,34.092191584967324,1.3927401737475813,1.1654353389301482,0.04761056831409028,-0.5521037581699346,0.08471835493143932,0.3308823529411764,0.010613056418926976,0.8390522875816994,0.06564194222696687,9.093376225490196,1.4851309414512985,22.23639705882353,1.7124947907379175,2.7624183006535947,1.6685486793946827
anchor,wk inc covid hosp,2024-2025,states_dc,all,26.4701155984782,2.2077769112652175,1.1080279713889107,0.09241661840000122,-0.4461418398205052,0.06258049281928013,0.3523070919910252,0.0050949045093433174,0.8267973856209151,0.045165666812092484,7.329739049848794,1.1398623235049485,16.52584138132865,1.2433270127750762,2.614535167300751,0.9003342409747942
