config_id,seeds,flu_mean,flu_sd,admissions_mean,admissions_sd,flu_rank,admissions_rank,all_target_mean,all_target_sd,middle_model,middle_seed,all_target_rank,label
B0-06c2ef97395a,3,0.8924163842667333,0.0203356338348563,0.924012867309045,0.019044111920003,2.0,2.0,1.0196598070758764,0.010340835404450612,B0-06c2ef97395a-s44,44,1.0,residual2
B0-c17ce3825219,3,0.9415435421422762,0.0568640109519738,0.9277810991550224,0.0245314531098156,3.0,3.0,1.0292811942998215,0.031115771037699497,B0-c17ce3825219-s43,43,2.0,latent32
B0-a00d850b4623,3,0.9582224964070596,0.0660102763834632,0.965390771100568,0.0994778527018803,5.0,4.0,1.0518570744121256,0.044473340057665796,B0-a00d850b4623-s44,44,3.0,balanced
B0-d4ead99b1ce0,3,0.9630698868420774,0.0193333002373079,1.0298332173606328,0.0448553949064,7.0,7.0,1.0572376565402892,0.02642688074552559,B0-d4ead99b1ce0-s43,43,4.0,anchor
B0-46059582726c,3,0.8915907633676029,0.0216526575475682,0.9188959568256982,0.050458555675647,1.0,1.0,1.058730424030631,0.0246632567467634,B0-46059582726c-s43,43,5.0,conv_h12
B0-5fafced4a267,3,1.0120925276284964,0.0300972616669539,1.0071396782618862,0.0687992010716406,11.0,6.0,1.0604162616539745,0.027707276058101922,B0-5fafced4a267-s43,43,6.0,conv_h26
B0-7b6e9f118eb0,3,0.9696672186994296,0.0573023159190289,1.0322961015162573,0.0442098186358395,8.0,9.0,1.0618088038976683,0.0036663818792743354,B0-7b6e9f118eb0-s44,44,7.0,residual2_z32
B0-a3090f862c4c,3,0.9529546130461752,0.0290883586026624,0.9972796961263296,0.0655742446114803,4.0,5.0,1.0639642303733878,0.009169576504253589,B0-a3090f862c4c-s44,44,8.0,mlp_h12
B0-9e3ee86287ef,3,0.9697953516295592,0.080987697085209,1.0301229443420217,0.1411175927311409,9.0,8.0,1.0831347551881663,0.054022805908236805,B0-9e3ee86287ef-s42,42,9.0,mlp_h8
B0-9519898b9184,3,1.0397836352595002,0.0512549619185914,1.0426465613006817,0.0383243519606785,12.0,10.0,1.0851541710893757,0.0358831491440532,B0-9519898b9184-s43,43,10.0,mlp_h26
B0-344ee9ec8f26,3,1.103765800862526,0.0547761335793014,1.0809079254982643,0.1005377417268918,13.0,12.0,1.0926665121894994,0.056095646010420275,B0-344ee9ec8f26-s43,43,11.0,mlp_h26_dynamics
B0-b8911ee633a5,3,0.9627544652529147,0.0193228937787239,1.0514560263339945,0.0621549698217387,6.0,11.0,1.16251540977738,0.043177727555462495,B0-b8911ee633a5-s43,43,12.0,state_us
B0-a4e53e1214ca,3,1.1356003608802665,0.0414073724610854,1.2218189160181956,0.026716032217583,14.0,14.0,1.2406779911870516,0.07930827792647734,B0-a4e53e1214ca-s42,42,13.0,baseline
B0-9edad5f6c6f8,3,0.9837124235921838,0.071791281363735,1.198207414018505,0.2205818096163175,10.0,13.0,1.3953575544105101,0.10279792503167501,B0-9edad5f6c6f8-s42,42,14.0,flu_only
