target,season,model,geography,horizon,n,wis,ae_median,interval_coverage_50,interval_coverage_95,underprediction,dispersion,overprediction,bias,rwis,rwis_n,wis_ratio,rank
wk inc covid hosp,2024-2025,B0-2a157841d7e4-s42,states_dc,all,6834,23.383668295351885,34.613110916008196,0.6097453906935909,0.9490781387181738,7.0630733799035506,13.03985030092504,3.2807446145232917,-0.1241366695932104,1.1226999917269944,6834,0.8992325539353809,4.0
wk inc covid hosp,2024-2025,B0-323fbd9b1c6f-s42,states_dc,all,6834,23.383668295351885,34.613110916008196,0.6097453906935909,0.9490781387181738,7.0630733799035506,13.03985030092504,3.2807446145232917,-0.1241366695932104,1.1226999917269944,6834,0.8992325539353809,4.0
wk inc covid hosp,2024-2025,B0-323fbd9b1c6f-s43,states_dc,all,6834,22.321318535201232,32.54067895815042,0.5364354697102721,0.9274217149546385,5.544069931671564,11.815401827181228,4.961846776348437,-0.015377524143985945,1.0756293611752195,6834,0.8583792765142844,2.0
wk inc covid hosp,2024-2025,B0-323fbd9b1c6f-s44,states_dc,all,6834,24.07719350816251,37.236903716710565,0.5760901375475563,0.9309335674568335,4.959925436754845,11.456848939445992,7.660419131961676,0.0042815335089259575,1.1481067383456456,6834,0.92590246904268,9.0
wk inc covid hosp,2024-2025,B0-41878487e0fd-s42,states_dc,all,6834,24.58456375411943,38.60872110038045,0.45302897278314314,0.8925958443078724,13.049172297082363,9.710863203165758,1.8245282538713081,-0.3157140766754463,1.1687598326586992,6834,0.9454136867139191,10.0
wk inc covid hosp,2024-2025,B0-4d0946a0dfcf-s42,states_dc,all,6834,64.90112500159051,81.20398009950249,0.08984489318115306,0.2709979514193737,59.3587306434579,4.894266709928618,0.6481276482039929,-0.8299063505999414,3.288466304688027,6834,2.4958104798322194,16.0
wk inc covid hosp,2024-2025,B0-8afe05f2b10e-s42,states_dc,all,6834,25.298063137000415,36.58633304067896,0.36055019022534385,0.7436347673397717,16.316219414436766,6.082879464569735,2.8989642579939185,-0.27540825285338016,1.0880094384190853,6834,0.9728517201394498,11.0
wk inc covid hosp,2024-2025,B0-96f18bffffa1-s42,states_dc,all,6834,24.071297922153935,35.84723441615452,0.36391571553994734,0.7442200760901375,13.254526599737884,7.489742782252421,3.3270285401636315,-0.28882352941176476,1.1742177528072284,6834,0.9256757508564453,8.0
wk inc covid hosp,2024-2025,B0-96f18bffffa1-s43,states_dc,all,6834,26.214761359443195,40.54023997658765,0.4604916593503073,0.8753292361720808,10.724981231947678,11.540014887200824,3.94976524029469,-0.22207345624817093,1.3182087033213146,6834,1.008103883031236,14.0
wk inc covid hosp,2024-2025,B0-96f18bffffa1-s44,states_dc,all,6834,27.590725528368385,42.986684225929174,0.36757389522973366,0.8125548726953468,15.82731483248718,9.192861905307224,2.570548790573984,-0.37663593795727246,1.371170496427692,6834,1.0610173848017057,15.0
wk inc covid hosp,2024-2025,B0-b1e265a36c11-s42,states_dc,all,6834,23.930325482561617,36.95668715247293,0.45229733684518586,0.8697688030436055,10.92097695664898,9.90768930284638,3.1016592230662545,-0.21877377816798363,1.1425685439174331,6834,0.9202545737644704,7.0
wk inc covid hosp,2024-2025,B0-c20800f1557e-s42,states_dc,all,6834,23.89954931226222,36.02985074626866,0.3405033655253146,0.7472929470295581,14.471097199424872,6.570364036594522,2.858088076242827,-0.3144644424934153,1.1539227614056715,6834,0.9190710582497478,6.0
wk inc covid hosp,2024-2025,B0-fa4e4645314c-s42,states_dc,all,6834,22.72278454275935,35.085894059116185,0.3804506877377817,0.8192859233245537,12.516172335254673,7.2863287144838464,2.92028349302083,-0.27157155399473226,1.1564535160271094,6834,0.8738178851506584,3.0
wk inc covid hosp,2024-2025,B0-fa4e4645314c-s43,states_dc,all,6834,25.62431830616737,40.02004682470003,0.3993268949370793,0.8448931811530582,15.330743978318127,8.664863661233474,1.6287106666157702,-0.37230611647644135,1.235289187918435,6834,0.9853980522760093,12.0
wk inc covid hosp,2024-2025,B0-fa4e4645314c-s44,states_dc,all,6834,20.747568932829456,32.341527655838455,0.48170910155106816,0.8716710564822944,7.8087376417147,9.032868776322989,3.90596251479177,-0.12428884986830552,1.05862062827541,6834,0.7978598209557711,1.0
wk inc covid hosp,2024-2025,CovidHub-ensemble,states_dc,all,6834,26.00402776013405,39.543806947620034,0.5415569212759731,0.9462979221539362,11.675272466831474,10.595872752393078,3.7328825409094972,-0.16969417617793386,1.0,6834,1.0,13.0
wk inc covid hosp,2025-2026,B0-2a157841d7e4-s42,states_dc,all,8874,16.609003978402953,25.885733603786342,0.47329276538201487,0.8806626098715348,3.8265328120253597,7.15134065320281,5.631130513174785,0.1297667342799189,1.2445441660080807,8874,1.0716565338773165,8.0
wk inc covid hosp,2025-2026,B0-323fbd9b1c6f-s42,states_dc,all,8874,16.609003978402953,25.885733603786342,0.47329276538201487,0.8806626098715348,3.8265328120253597,7.15134065320281,5.631130513174785,0.1297667342799189,1.2445441660080807,8874,1.0716565338773165,8.0
wk inc covid hosp,2025-2026,B0-323fbd9b1c6f-s43,states_dc,all,8874,19.524922587725747,29.59634888438134,0.3583502366463827,0.7740590489069191,2.8051121498074494,6.5121740600288085,10.207636377889486,0.2979411764705882,1.4952305973204878,8874,1.25979925658354,15.0
wk inc covid hosp,2025-2026,B0-323fbd9b1c6f-s44,states_dc,all,8874,18.006447609528568,28.13894523326572,0.38697318007662834,0.811246337615506,3.2906781903166067,6.1918794034355376,8.523890015776425,0.21218728870858689,1.3531934826037173,8874,1.1618232651255205,14.0
wk inc covid hosp,2025-2026,B0-41878487e0fd-s42,states_dc,all,8874,16.797529421563727,25.88471940500338,0.3773946360153257,0.7994140184809556,4.208900451734917,5.975210189023136,6.6134187808056755,0.14511268875366237,1.2342100317485916,8874,1.0838206903329397,11.0
wk inc covid hosp,2025-2026,B0-4d0946a0dfcf-s42,states_dc,all,8874,45.32719155128317,56.11967545638945,0.08733378408834798,0.2852152355194952,42.88050582551861,2.3993123536271077,0.047373372137460706,-0.8546889790398918,3.47393275948415,8874,2.92462937882396,16.0
wk inc covid hosp,2025-2026,B0-8afe05f2b10e-s42,states_dc,all,8874,17.279622541670342,25.84088347982871,0.3098940725715574,0.7299977462249267,9.562336478819413,4.273850917678415,3.443435145172511,-0.11821951769213435,1.2016220652122829,8874,1.1149266038947254,12.0
