target,season,geography,horizon,wis_mean,wis_std,wis_ratio_mean,wis_ratio_std,bias_mean,bias_std,interval_coverage_50_mean,interval_coverage_50_std,interval_coverage_95_mean,interval_coverage_95_std,dispersion_mean,dispersion_std,underprediction_mean,underprediction_std,overprediction_mean,overprediction_std,candidate,control
wk inc covid hosp,2024-2025,US,0,-178.27676190476188,273.47839999208577,-0.30532750954467014,0.46837556331908153,-0.5423809523809523,0.12931793863072757,0.04761904761904765,0.0436435780471985,0.3238095238095238,0.03299144395369291,93.74800000000005,78.52256144210129,295.8571428571429,111.96696714036793,-567.8819047619048,85.0021576356806,anchor,baseline
wk inc covid hosp,2024-2025,US,1,-171.82137254901963,316.294244452016,-0.21978900529155532,0.4045945876012576,-0.822549019607843,0.022987008015085034,0.13725490196078435,0.1032907230671837,0.2941176470588235,0.0,141.00019607843134,88.77243918742393,391.0450980392157,111.04845747567944,-703.8666666666667,120.36308009350837,anchor,baseline
wk inc covid hosp,2024-2025,US,2,-175.06383838383837,339.4665606693872,-0.19548318172148224,0.37906174102159207,-1.0181818181818179,0.0631474726793172,0.11111111111111109,0.046288643383392315,0.4343434343434343,0.046288643383392336,187.47353535353537,103.03427373825124,496.090909090909,103.4596027593483,-858.6282828282829,148.21491956408985,anchor,baseline
wk inc covid hosp,2024-2025,US,3,-185.4411458333334,321.04755934496785,-0.1937352260306433,0.3354068008843346,-1.0765624999999999,0.07924201458191224,0.09375,0.03125,0.4583333333333333,0.10045469542700995,228.70052083333334,118.80625905834593,654.8770833333334,94.71900431616578,-1069.01875,144.0318960172104,anchor,baseline
wk inc covid hosp,2024-2025,US,all,-177.55848258706496,310.10152931229464,-0.2219507051967291,0.38763145590467035,-0.8582089552238807,0.023825145507976958,0.09701492537313432,0.04477611940298509,0.37562189054726375,0.021542920492150185,161.04649253731347,95.6252161236432,455.0567164179104,99.6812965960368,-793.6616915422886,122.72325614697841,anchor,baseline
wk inc covid hosp,2024-2025,states_dc,0,3.961564892623715,3.1813131076418513,0.21489758582990237,0.17257233571364713,-0.14540616246498603,0.12633190792197838,-0.1437908496732026,0.07437559432691528,-0.10662931839402427,0.04840132962502907,-0.7038692810457509,1.7381303077273154,4.945695611577963,2.7696643908194054,-0.2802614379084969,0.8816880787671489,anchor,baseline
wk inc covid hosp,2024-2025,states_dc,1,5.1071414840446,3.267716091592089,0.2285694439229575,0.14624620294674054,-0.23127643214148405,0.09689304023913867,-0.1797385620915033,0.06833443628771324,-0.09092656670511338,0.058136331672994625,-1.0687139561707049,2.1193852506573876,6.76708958093041,2.288725303527848,-0.5912341407151095,0.7881313477038676,anchor,baseline
wk inc covid hosp,2024-2025,states_dc,2,6.046904337492574,2.9935839580316284,0.23198289767905347,0.11484558747256042,-0.2703208556149732,0.09933437970043875,-0.23648247177658946,0.07821726659386183,-0.09724697959992072,0.06639203107322103,-1.9953614577143999,2.571394756335328,8.99077044959398,2.100544041533611,-0.9485046543870075,0.885593998927504,anchor,baseline
wk inc covid hosp,2024-2025,states_dc,3,6.166787173202617,2.4651718767799093,0.210810492525817,0.08427145009365969,-0.25861928104575166,0.10444136543562575,-0.26429738562091515,0.09684733014861074,-0.11560457516339877,0.07335644825710338,-3.67859681372549,3.146235428278073,10.9828022875817,2.4733920999048062,-1.1374183006535954,1.1371980521449732,anchor,baseline
wk inc covid hosp,2024-2025,states_dc,all,5.292407569993169,2.983397700119082,0.221537968042723,0.12488378032241529,-0.22499268364062042,0.1004710049827062,-0.20451663252365626,0.07884378994158439,-0.10247780704321525,0.0602932530716764,-1.8248785484343004,2.374007633016439,7.84571261340357,2.156405997869998,-0.7284264949761,0.8558147417530229,anchor,baseline
wk inc covid hosp,2025-2026,US,0,-196.8625185185185,21.119561759310983,-0.6464341306133795,0.06934994862179185,0.5985185185185183,0.13837832081211962,0.26666666666666666,0.20000000000000007,0.2222222222222222,0.11547005383792512,15.482666666666683,34.05635647200313,-233.50666666666666,33.90940697625785,21.16148148148148,25.319622930640065,anchor,baseline
wk inc covid hosp,2025-2026,US,1,-305.218106060606,36.92520209013608,-0.611962329224271,0.07403503340548748,0.33181818181818173,0.14798491519059276,0.15151515151515152,0.11662730544197468,0.33333333333333326,0.05719571541871775,33.928863636363644,30.612870462680828,-327.5060606060607,35.73995880869734,-11.64090909090911,38.723943785648295,anchor,baseline
wk inc covid hosp,2025-2026,US,2,-417.399069767442,24.802126673065036,-0.5862495192688503,0.03483533120241667,0.20155038759689925,0.1638682498750394,0.17054263565891473,0.08167173451823828,0.3100775193798449,0.03552384259655695,54.886201550387575,24.008586211234263,-403.8248062015503,35.57878887955466,-68.46046511627911,29.16292904533039,anchor,baseline
wk inc covid hosp,2025-2026,US,3,-489.5355555555555,16.73153492201341,-0.5597388332939023,0.01913096961023741,0.04920634920634923,0.17375379624122994,0.23015873015873023,0.05991932091484728,0.3095238095238096,0.04761904761904762,75.56603174603175,20.263951775805825,-454.2619047619048,42.51657619918,-110.83968253968253,13.747889001698509,anchor,baseline
wk inc covid hosp,2025-2026,US,all,-349.4084099616859,19.386104695698997,-0.5902811994095685,0.03275036549037701,0.30038314176245207,0.1542946473461543,0.20498084291187743,0.10429622673422377,0.29310344827586216,0.05832696301777141,44.38775862068966,25.3103247805599,-352.6524904214559,32.95823308270812,-41.143678160919556,24.74279590641985,anchor,baseline
wk inc covid hosp,2025-2026,states_dc,0,0.2567392883079164,0.9395780277961846,0.02854783384932062,0.1044753126908579,-0.0461728395061728,0.030458453965368712,-0.1154684095860566,0.0941448762354554,-0.1305737109658678,0.12624465572306065,-1.098322440087146,0.7818218602973089,0.8613217138707338,1.0210067543726455,0.49374001452432853,0.7151808143122411,anchor,baseline
