config_id,rank,wk inc flu hosp_mean,wk inc covid hosp_mean,wk inc rsv hosp_mean,wk inc flu prop ed visits_mean,wk inc covid prop ed visits_mean,wk inc rsv prop ed visits_mean,combined_mean,wk inc flu hosp_sd,wk inc covid hosp_sd,wk inc rsv hosp_sd,wk inc flu prop ed visits_sd,wk inc covid prop ed visits_sd,wk inc rsv prop ed visits_sd,combined_sd,seeds,states_dc_combined_mean,US_combined_mean
b1:v2:h12:tr_4rt:ed_logit:geo1:dyn1:lw_obj:enc_mlp:sp_none:hd_sh:dec_leg:nz_glob:us_none:z16:w64:ep100:pat30:bs8:m128:lr0.001:hs_sh:cal1:id0:fit_targ:vm256:wd0.0:pipe_flag:mask0.5:mr0.0:mg1.0:mo0.0,1.0,0.9197966573738111,0.941066184036639,1.044417280200033,0.9152790808415481,1.0323895114189428,0.7872052265092755,0.9388746483062809,0.040312437583502364,0.014668514511197975,0.19180461466047888,0.08655005412327516,0.15051473267762785,0.06952931871906265,0.018524000150339018,3,0.9577934465473837,0.8631994553418684
b1:v2:h12:tr_4rt:ed_logit:geo1:dyn1:lw_obj:enc_mlp:sp_none:hd_sh:dec_leg:nz_glob:us_none:z16:w64:ep100:pat30:bs8:m128:lr0.001:hs_sh:cal1:id0:fit_path:vm256:wd0.0:pipe_flag:mask0.5:mr0.5:mg0.3:mo0.2,2.0,0.9479622375166782,0.9604134653095823,0.8950960723459964,0.9775561049737517,0.9638145066455747,0.841800484265895,0.9517933980478431,0.028277345115438356,0.048670414201870016,0.044557625135232946,0.0659711467587887,0.0434262668952536,0.09263961404101258,0.05539411705907024,3,0.9710440406892226,0.8747908274823253
b1:v2:h12:tr_4rt:ed_logit:geo1:dyn1:lw_obj:enc_mlp:sp_none:hd_sh:dec_leg:nz_glob:us_none:z16:w64:ep100:pat30:bs8:m128:lr0.001:hs_sh:cal1:id0:fit_targ:vm256:wd0.0:pipe_flag:mask0.0:mr0.5:mg0.3:mo0.2,3.0,0.9391640715694027,0.9716080175300613,0.9427883359457678,0.9374450232747756,1.0437461725742256,0.8109007455004141,0.9530385319526081,0.034487724111704136,0.056586443386178915,0.07989649628932928,0.07590931257714549,0.08560701145909576,0.011635191682441487,0.035131459069447736,3,0.9701411347836353,0.8846281206284988
b1:v2:h12:tr_4rt:ed_logit:geo1:dyn1:lw_obj:enc_mlp:sp_none:hd_sh:dec_leg:nz_glob:us_none:z16:w64:ep100:pat30:bs8:m128:lr0.001:hs_sh:cal1:id0:fit_path:vm256:wd0.0:pipe_flag:mask0.0:mr0.5:mg0.3:mo0.2,4.0,0.9675473345508361,0.9768700672255411,0.8957329012529316,1.001213346480607,1.064974618723924,0.8901311448131425,0.9564131033693913,0.0820961320464895,0.0183010792896925,0.06221645482520628,0.12594753996379518,0.04514124522726686,0.06545934921300352,0.03889075854332637,3,0.9720052687854285,0.8940444417052422
b1:v2:h12:tr_4rt:ed_logit:geo1:dyn1:lw_obj:enc_mlp:sp_none:hd_sh:dec_leg:nz_glob:us_none:z16:w64:ep100:pat30:bs8:m128:lr0.001:hs_sh:cal1:id0:fit_path:vm256:wd0.0:pipe_aux025:mask0.5:mr0.5:mg0.3:mo0.2,5.0,0.9363714630877057,0.9612968433987626,0.9065626053893742,0.9531385614180129,0.9924026287453285,0.9110047013194821,0.956693358438638,0.05066603323662489,0.030335639318288827,0.07116331012165826,0.08891610979798863,0.049459896089453,0.09688973020910573,0.038762245203181264,3,0.974728564764532,0.884552533135062
b1:v2:h12:tr_4rt:ed_logit:geo1:dyn1:lw_obj:enc_mlp:sp_none:hd_sh:dec_leg:nz_glob:us_none:z16:w64:ep100:pat30:bs8:m128:lr0.001:hs_sh:cal1:id0:fit_path:vm256:wd0.0:pipe_flag:mask0.5:mr0.0:mg0.0:mo1.0,6.0,0.945609650548763,0.9547272199635293,0.9212598788077418,0.9654789721752352,1.0408554264513923,0.9251389225808072,0.9642405636203769,0.02028171291116623,0.02865374796624775,0.01853144850983291,0.06060454536313979,0.06741314615068056,0.12652976460821924,0.034314283153320135,3,0.9774762583583808,0.9112977846683609
b1:v2:h12:tr_4rt:ed_logit:geo1:dyn1:lw_obj:enc_mlp:sp_joint:hd_sh:dec_leg:nz_glob:us_none:z16:w64:ep300:pat30:bs8:m128:lr0.001:hs_path:cal1:id0:fit_all:vm256:wd0.0:pipe_aux025:mask0.5:mr0.5:mg0.3:mo0.2,7.0,0.9411314322708432,1.0295926475151258,0.8381357716214869,0.9657991446525918,1.1079345832351088,0.8741688790887051,0.9719374463204605,0.046950540161415595,0.02709601867181843,0.010314792431458266,0.05704162625943469,0.09280324909785904,0.0774355789301011,0.05350876511050858,3,0.9797952363545175,0.9405062861842324
b1:v2:h12:tr_4rt:ed_logit:geo1:dyn1:lw_obj:enc_mlp:sp_none:hd_sh:dec_leg:nz_glob:us_none:z16:w64:ep100:pat30:bs8:m128:lr0.001:hs_sh:cal1:id0:fit_path:vm256:wd0.0:pipe_flag:mask0.5:mr0.0:mg1.0:mo0.0,8.0,1.0250135100753452,0.9724559951028896,0.9065762618113157,1.0783561006430564,1.0739128711354875,0.8988843204270475,0.9750058413786574,0.02049796740952229,0.053167765879065215,0.06580342783220686,0.08242661401074068,0.031706837486626865,0.07138925710791318,0.02829497301175207,3,0.9885208671821072,0.9209457381648591
b1:v2:h12:tr_4rt:ed_logit:geo1:dyn1:lw_obj:enc_msc:sp_none:hd_sh:dec_leg:nz_glob:us_none:z16:w64:ep100:pat30:bs8:m128:lr0.001:hs_sh:cal1:id0:fit_targ:vm256:wd0.0:pipe_flag:mask0.5:mr0.0:mg1.0:mo0.0,9.0,0.9326717652065949,1.0428208330964497,1.039909611478056,0.8942038888141449,0.9805079096369332,1.0838083658142794,0.977800828359063,0.03491658247653934,0.075745460040957,0.11966521784148518,0.0739459540168995,0.08058283122056753,0.1883775222038305,0.050001236001022686,3,0.9840186273672272,0.9529296323264065
b1:v2:h12:tr_4rt:ed_logit:geo1:dyn1:lw_obj:enc_msc:sp_none:hd_sh:dec_leg:nz_glob:us_none:z16:w64:ep100:pat30:bs8:m128:lr0.001:hs_sh:cal1:id0:fit_targ:vm256:wd0.0:pipe_flag:mask0.0:mr0.5:mg0.3:mo0.2,10.0,0.9323085814943992,1.0432172795444072,0.9583789939442208,0.9078951660742667,0.9511202770013191,1.1242734520691642,0.9803395484656617,0.04923451613221418,0.1160523099221353,0.157942038155319,0.0692520364859448,0.06399459661783029,0.18165826340025598,0.061741798584471645,3,0.9824241119848097,0.9720012943890693
